maranyane a mahala a le wena o kgonang go a fetola.	maraɲanɪ a mahala a lɪ wɪna ʊ k͡χʰʊnaŋ χʊ a fɪtʊla .
Grizelda Boniwe Cjiekella e ne e le leloko la khanselekgolo la thuto kwa kgaolong ya Kapa Bokone, kwa Aforika Borwa, a berekile gape e le moeteledipele wa kgaolo eo go tswa ka Tlhakole a le masome mabedi ngwaga wa 2012 go tsena Moranang a le malatsi a mabedi ngwaga wa 2013.	χrizɪlda bʊniwɪ kd͡ʒiɪkɪlla ɪ nɪ ɪ lɪ lɪlʊkʊ la kʰansɪlɪk͡χʰʊlʊ la tʰutʊ kwa k͡χʰaʊlʊŋ ja kapa bʊkʊnɪ , kwa afʊrika bʊrwa , a bɪrɪkilɪ χapɪ ɪ lɪ mʊɪtɪlɪdipɪlɪ wa k͡χʰaʊlʊ ɪʊ χʊ t͡swa ka t͡ɬʰakʊlɪ a lɪ masʊmɪ mabɪdi ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊbɪdi χʊ t͡sɪna mʊranaŋ a lɪ malat͡si a mabɪdi ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊrarʊ .
[19] Tetteh, Nii Okai. "Here Is The Gallery And Full List of the 2018 RTP Awards Nominations – Kuulpeeps – Ghana Campus News and Lifestyle Site by Students". Retrieved 21 May 2019.	lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ tɪttɪh , nii ʊkai . hɪrɪ is tʰɪ χallɪrj and full list ʊf tʰɪ dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi rtp awards nʊminatiʊns kuulpɪɪps χhana kampus nɪws and lifɪstjlɪ sitɪ bj studɪnt͡s . rɪtriɪvɪd masʊmɪ a mabɪdi lɪ bʊŋwɪ maj dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ .
[5 "Malawian new female songbird 'Hilco' to release 'Touch and Go' music video - Malawi Nyasa Times - News from Malawi about Malawi]". www.nyasatimes.com. 2016-10-04. Retrieved 2024-06-19.	bʊt͡ɬʰanʊ malawian nɪw fɪmalɪ sʊŋbird hilkʊ tʊ rɪlɪasɪ tʊukh and χʊ musik vidɪʊ malawi ɲasa timɪs nɪws frʊm malawi abʊut malawi . www . ɲasatimɪs . kʊm . dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ lɪsʊmɪ bʊnɪ . rɪtriɪvɪd dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊnɪ bʊratarʊ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ .
[3 "10 Things You Didn't Know About Teen Sensation Tammy Moyo".] youthvillage. Retrieved 19 October 2020.	bʊrarʊ lɪsʊmɪ tʰiŋs jʊu didn t knʊw abʊut tɪɪn sɪnsatiʊn tammj mʊjʊ . jʊutʰvillaχɪ . rɪtriɪvɪd lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ ʊktʊbɪr dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi .
Bloem o berekile mo maemong ao go fitlhelela a tlhomiwa mokhanselara wa dipalamo le tshireletsego ka Seetebosigo 2020. O ne a tlhatlhama Nontobeko Vilakazi, fa Mase Manopole a ne a mo tlhatlhama mo maemong a mokhanselara wa tlhabololo ditsha, temothuo le tshomarelo tikologo.	blʊɪm ʊ bɪrɪkilɪ mʊ maɪmʊŋ aʊ χʊ fit͡ɬʰɪlɪla a t͡ɬʰʊmiwa mʊkʰansɪlara wa dipalamʊ lɪ t͡sʰirɪlɪt͡sɪχʊ ka sɪɪtɪbʊsiχʊ dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi . ʊ nɪ a t͡ɬʰat͡ɬʰama nʊntʊbɪkʊ vilakazi , fa masɪ manʊpʊlɪ a nɪ a mʊ t͡ɬʰat͡ɬʰama mʊ maɪmʊŋ a mʊkʰansɪlara wa t͡ɬʰabʊlʊlʊ dit͡sʰa , tɪmʊtʰuʊ lɪ t͡sʰʊmarɪlʊ tikʊlʊχʊ .
Stenberg o tshamikile le Bobbie Salvor Menuez mo motshamekong o o tshosang wa baratani ba bong bo bo tshwanang wa My Animal, o o supileng e le lantlha lefatshe ka bophara kwa moketeng wa 2023 wa Sundance ka Firikgong a le masome mabedi le bobedi ngwaga wa 2023 bosigogare.	stɪnbɪrχ ʊ t͡sʰamikilɪ lɪ bʊbbiɪ salvʊr mɪnuɪz mʊ mʊt͡sʰamɪkʊŋ ʊ ʊ t͡sʰʊsaŋ wa baratani ba bʊŋ bʊ bʊ t͡sʰwanaŋ wa mj animal , ʊ ʊ supilɪŋ ɪ lɪ lant͡ɬʰa lɪfat͡sʰɪ ka bʊpʰara kwa mʊkɪtɪŋ wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊrarʊ wa sundankɪ ka firik͡χʰʊŋ a lɪ masʊmɪ mabɪdi lɪ bʊbɪdi ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊrarʊ bʊsiχʊχarɪ .
Ka 2015 le 2016, metswedi ya dikgang e ne ya re Zuma-Ncube o bone dithuso tsa madi ka bokukuntshwane jwa go sikaan le motho o nang le thotloetso ka dikonteraka tsa didkadike di le lekgolo, masome a maratrao le bosupa go tswa kwa SABC le didikadike di robabobedi go tswa kwa mmasepala wa eThekwini go ema Uzalo nokeng.	ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊt͡ɬʰanʊ lɪ dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ , mɪt͡swɪdi ja dik͡χʰaŋ ɪ nɪ ja rɪ zuma nkubɪ ʊ bʊnɪ ditʰusʊ t͡sa madi ka bʊkukunt͡sʰwanɪ d͡ʒwa χʊ sikaan lɪ mʊtʰʊ ʊ naŋ lɪ tʰʊt͡ɬʊɪt͡sʊ ka dikʊntɪraka t͡sa didkadikɪ di lɪ lɪk͡χʰʊlʊ , masʊmɪ a maratraʊ lɪ bʊsupa χʊ t͡swa kwa sabk lɪ didikadikɪ di rʊbabʊbɪdi χʊ t͡swa kwa mmasɪpala wa ɪtʰɪkwini χʊ ɪma uzalʊ nʊkɪŋ .
[9 "How to Find A Husband #StoryLab ]". ghafla.co.ke. Archived from the original on January 9, 2016. Retrieved October 29, 2015.	bʊfɪra bʊŋwɪ hʊw tʊ find a husband stʊrjlab . χhafla . kʊ . kɪ . arkhivɪd frʊm tʰɪ ʊriχinal ʊn d͡ʒanuarj bʊfɪra bʊŋwɪ , dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ . rɪtriɪvɪd ʊktʊbɪr masʊmɪ a mabɪdi lɪ bʊfɪra bʊŋwɪ , dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊt͡ɬʰanʊ .
Fa a boela gae morago ga go tshaba, Tshwete o ne a nna molweladitshwanelo, o ne a le matlhagatlhaga mo makgotleng a ANC a masha kwa Mdantsane le Peelton. O ne a tlhophiwa mo komiting ya lekgotla la bomme ba ANC lantlha ka 1993, a ya go direla mo komiting eo kwa Kapa Botlhaba	fa a bʊɪla χaɪ mʊraχʊ χa χʊ t͡sʰaba , t͡sʰwɪtɪ ʊ nɪ a nna mʊlwɪladit͡sʰwanɪlʊ , ʊ nɪ a lɪ mat͡ɬʰaχat͡ɬʰaχa mʊ mak͡χʰʊt͡ɬɪŋ a ank a maʃa kwa mdant͡sanɪ lɪ pɪɪltʊn . ʊ nɪ a t͡ɬʰʊpʰiwa mʊ kʊmitiŋ ja lɪk͡χʰʊt͡ɬa la bʊmmɪ ba ank lant͡ɬʰa ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊrarʊ , a ja χʊ dirɪla mʊ kʊmitiŋ ɪʊ kwa kapa bʊt͡ɬʰaba
[7] Cutura, Jozefina (2006). "Voices of Women Entrepreneurs in Kenya" (PDF). Washington DC: International Finance Corporation. Retrieved 5 June 2018.	bʊsupa kutura , d͡ʒʊzɪfina dikɪtɪ t͡sɪ pɪdi lɪ bʊratarʊ . vʊikɪs ʊf wʊmɪn ɪntrɪprɪnɪurs in kɪɲa pdf . waʃiŋtʊn dk , intɪrnatiʊnal finankɪ kʊrpʊratiʊn . rɪtriɪvɪd bʊt͡ɬʰanʊ d͡ʒunɪ dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi .
Boye-Hlorkah o simolotse go ikatisa kgwele ya dinao kwa Setheong sa Botswerere sa Basadi sa Everton.	bʊjɪ hlʊrkah ʊ simʊlʊt͡sɪ χʊ ikatisa k͡χʰwɪlɪ ja dinaʊ kwa sɪtʰɪʊŋ sa bʊt͡swɪrɪrɪ sa basadi sa ɪvɪrtʊn .
Ka kgwedi ya Ferekgong e le lesome (10) ka ngwaga wa 2021 o ne a fitlhelela maemo a go tsenela metshameko ya Olympic kwa marathone kwa Marrakech, a taboga ka 2:28:48 metsotswana. Morago ga moo o ne a bidiwa mo setlhopheng sa Fora sa marathone mo metshamekong ya Olimpiki ya Tokyo ya ngwaga wa 2020 e e neng ya diegisiwa.	ka k͡χʰwɪdi ja fɪrɪk͡χʰʊŋ ɪ lɪ lɪsʊmɪ lɪsʊmɪ ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊŋwɪ ʊ nɪ a fit͡ɬʰɪlɪla maɪmʊ a χʊ t͡sɪnɪla mɪt͡sʰamɪkʊ ja ʊljmpik kwa maratʰʊnɪ kwa marrakɪkh , a tabʊχa ka bʊbɪdi , masʊmɪ a mabɪdi lɪ bʊfɪra bʊbɪdi , masʊmɪ a manɪ lɪ bʊfɪra bʊbɪdi mɪt͡sʊt͡swana . mʊraχʊ χa mʊʊ ʊ nɪ a bidiwa mʊ sɪt͡ɬʰʊpʰɪŋ sa fʊra sa maratʰʊnɪ mʊ mɪt͡sʰamɪkʊŋ ja ʊlimpiki ja tʊkjʊ ja ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi ɪ ɪ nɪŋ ja diɪχisiwa .
Hope Papo ke mopolotiki wa kwa Aforika Borwa wa African National Congress. Ke leloko la palamente ya Aforika Borwa.	hʊpɪ papʊ kɪ mʊpʊlʊtiki wa kwa afʊrika bʊrwa wa afrikan natiʊnal kʊŋrɪss . kɪ lɪlʊkʊ la palamɪntɪ ja afʊrika bʊrwa .
Bogologolo,motlakase o ise o itsiwe,batho bane ba dirisa molelo wa dikgong kgotsa wa magala go dira ditiro tsago itshedisa,jaaka go apaya.Gone go dirisiwa dipitsa tsa tshipi tse eleng gore le gompieno santse di dirisiwa le masokwane a maleele a legong.Masokwane a,a diretswe go fudua se se apeilweng ka dipitsa tsa tshipi,jaaka gompieno jaana di dirisetswa mosola o.	bʊχʊlʊχʊlʊ , mʊt͡ɬakasɪ ʊ isɪ ʊ it͡siwɪ , batʰʊ banɪ ba dirisa mʊlɪlʊ wa dik͡χʰʊŋ k͡χʰʊt͡sa wa maχala χʊ dira ditirʊ t͡saχʊ it͡sʰɪdisa , d͡ʒaaka χʊ apaja . χʊnɪ χʊ dirisiwa dipit͡sa t͡sa t͡sʰipi t͡sɪ ɪlɪŋ χʊrɪ lɪ χʊmpiɪnʊ sant͡sɪ di dirisiwa lɪ masʊkwanɪ a malɪɪlɪ a lɪχʊŋ . masʊkwanɪ a , a dirɪt͡swɪ χʊ fudua sɪ sɪ apɪilwɪŋ ka dipit͡sa t͡sa t͡sʰipi , d͡ʒaaka χʊmpiɪnʊ d͡ʒaana di dirisɪt͡swa mʊsʊla ʊ .
O ne a fenya London Marathon wa ngwaga wa 2024, a fetsa ka diura di le pedi, metsotso e le lesome le borataro (16) le metsotswana e le lesome le boratoro (16) mme a roba rekoto ya lefatshe ya basadi (ke gore, rekoto ya lefatshe ya nako e e bonako go gaisa ya motshameki wa marathone wa mosadi a sa dirise batshameki ba banna).	ʊ nɪ a fɪɲa lʊndʊn maratʰʊn wa ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊnɪ , a fɪt͡sa ka diura di lɪ pɪdi , mɪt͡sʊt͡sʊ ɪ lɪ lɪsʊmɪ lɪ bʊratarʊ lɪsʊmɪ lɪ bʊratarʊ lɪ mɪt͡sʊt͡swana ɪ lɪ lɪsʊmɪ lɪ bʊratʊrʊ lɪsʊmɪ lɪ bʊratarʊ mmɪ a rʊba rɪkʊtʊ ja lɪfat͡sʰɪ ja basadi kɪ χʊrɪ , rɪkʊtʊ ja lɪfat͡sʰɪ ja nakʊ ɪ ɪ bʊnakʊ χʊ χaisa ja mʊt͡sʰamɪki wa maratʰʊnɪ wa mʊsadi a sa dirisɪ bat͡sʰamɪki ba banna .
Ben Amara o ne a tshegetsa Arab Spring mme a nna le seabe mo ditiragalong, mme o utlwa botlhoko gore boradipolotiki ba utswile thato ya batho. [ 7 ] O boletse gore karolo ya gagwe e e siameng e ka nna ya motho wa bong bo sele. [ 1 ]	bɪn amara ʊ nɪ a t͡sʰɪχɪt͡sa arab spriŋ mmɪ a nna lɪ sɪabɪ mʊ ditiraχalʊŋ , mmɪ ʊ ut͡ɬwa bʊt͡ɬʰʊkʊ χʊrɪ bʊradipʊlʊtiki ba ut͡swilɪ tʰatʊ ja batʰʊ . bʊsupa ʊ bʊlɪt͡sɪ χʊrɪ karʊlʊ ja χaχwɪ ɪ ɪ siamɪŋ ɪ ka nna ja mʊtʰʊ wa bʊŋ bʊ sɪlɪ . bʊŋwɪ
Ke leloko la palamente la pele la pathi ya kganetso ya Democratic Alliance ka dingwaga tsa 2009 go tsena 2014. O ne a ya go bereka e le mokhanselara wa DA kwa toropokgolo Johannesburg ka 2014 go tsena 2016.	kɪ lɪlʊkʊ la palamɪntɪ la pɪlɪ la patʰi ja k͡χʰanɪt͡sʊ ja dɪmʊkratik alliankɪ ka diŋwaχa t͡sa dikɪtɪ t͡sɪ pɪdi lɪ bʊfɪra bʊŋwɪ χʊ t͡sɪna dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊnɪ . ʊ nɪ a ja χʊ bɪrɪka ɪ lɪ mʊkʰansɪlara wa da kwa tʊrʊpʊk͡χʰʊlʊ d͡ʒʊhannɪsburχ ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊnɪ χʊ t͡sɪna dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ .
[1 "Rita Naa Odoley Sowah empowering the youth through sports in La Dadekotopon"]. GhanaWeb. 2020-11-29. Retrieved 2020-12-19.	bʊŋwɪ rita naa ʊdʊlɪj sʊwah ɪmpʊwɪriŋ tʰɪ jʊutʰ tʰrʊuχh spʊrt͡s in la dadɪkʊtʊpʊn . χhanawɪb . dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪsʊmɪ lɪ bʊŋwɪ masʊmɪ a mabɪdi lɪ bʊfɪra bʊŋwɪ . rɪtriɪvɪd dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪsʊmɪ lɪ bʊbɪdi lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ .
Ntle le go nna motho yo o itsegeng, o dira jaaka modirediloago wa NGO kwa Buea. [2 ] O ne a le nomoro 10 mo lenaaneng la 2016 Ranking of 50 Most Influential Young Cameroonians ke Avance Media & CELBMD Africa .[ 12 ]	nt͡ɬɪ lɪ χʊ nna mʊtʰʊ jʊ ʊ it͡sɪχɪŋ , ʊ dira d͡ʒaaka mʊdirɪdilʊaχʊ wa ŋʊ kwa buɪa . bʊbɪdi ʊ nɪ a lɪ nʊmʊrʊ lɪsʊmɪ mʊ lɪnaanɪŋ la dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊratarʊ rankiŋ ʊf masʊmɪ a mat͡ɬʰanʊ mʊst influɪntial jʊuŋ kamɪrʊʊnians kɪ avankɪ mɪdia lɪ kɪlbmd afrika . lɪsʊmɪ lɪ bʊbɪdi
Feinland e ne e le ntlhopheng gape wa Senator wa U.S. go tswa kwa California ka ngwaga wa 2010, a amogela diboutu di le 135,088 le 1.35% ya diboutu.	fɪinland ɪ nɪ ɪ lɪ nt͡ɬʰʊpʰɪŋ χapɪ wa sɪnatʊr wa u . s . χʊ t͡swa kwa kalifʊrnia ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ , a amʊχɪla dibʊutu di lɪ dikɪtɪ t͡sɪ lɪk͡χʰʊlʊ lɪ masʊmɪ a mararʊ lɪ bʊt͡ɬʰanʊ lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊfɪra bʊbɪdi lɪ bʊŋwɪ nt͡ɬʰa bʊrarʊ bʊt͡ɬʰanʊ mʊ lɪk͡χʰʊlʊŋ ja dibʊutu .
[9 "Naky Sy Savané, actrice et féministe au Fespaco" ]. Voice of America (in French). 2017-02-27. Retrieved 2024-07-30	bʊfɪra bʊŋwɪ nakj sj savanɪ , aktrikɪ ɪt fɪministɪ au fɪspakʊ . vʊikɪ ʊf amɪrika in frɪnkh . dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa bʊbɪdi masʊmɪ a mabɪdi lɪ bʊsupa . rɪtriɪvɪd dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊnɪ bʊsupa masʊmɪ a mararʊ
[10"Ministère du tourisme: Passation des pouvoirs entre Fatim-Zahra Ammor et Nadia Fettah Alaoui ]". L'Economiste (in French). 2021-10-08. Retrieved 2021-10-11.	lɪsʊmɪ ministɪrɪ du tʊurismɪ , passatiʊn dɪs pʊuvʊirs ɪntrɪ fatim zahra ammʊr ɪt nadia fɪttah alaʊui . l ɪkʊnʊmistɪ in frɪnkh . dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊŋwɪ lɪsʊmɪ bʊfɪra bʊbɪdi . rɪtriɪvɪd dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊŋwɪ lɪsʊmɪ lɪsʊmɪ lɪ bʊŋwɪ .
[2 "We need more female writers and producers so that the story about women will change - Akofa Edjeani ]". yen.com.gh. Yen GH. 18 October 2017. Archived from the original on 27 October 2018. Retrieved 27 October 2018.	bʊbɪdi wɪ nɪɪd mʊrɪ fɪmalɪ writɪrs and prʊdukɪrs sʊ tʰat tʰɪ stʊrj abʊut wʊmɪn will khaŋɪ akʊfa ɪdd͡ʒɪani . jɪn . kʊm . χh . jɪn χh . lɪsʊmɪ lɪ bʊfɪra bʊbɪdi ʊktʊbɪr dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa . arkhivɪd frʊm tʰɪ ʊriχinal ʊn masʊmɪ a mabɪdi lɪ bʊsupa ʊktʊbɪr dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi . rɪtriɪvɪd masʊmɪ a mabɪdi lɪ bʊsupa ʊktʊbɪr dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi .
Tshabalala o berekile e le mopalamente fa e sale ka 2019, le ka 2011 go tsena 2014. Ke leloko la African National Congress.	t͡sʰabalala ʊ bɪrɪkilɪ ɪ lɪ mʊpalamɪntɪ fa ɪ salɪ ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ , lɪ ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊŋwɪ χʊ t͡sɪna dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊnɪ . kɪ lɪlʊkʊ la afrikan natiʊnal kʊŋrɪss .
Dikangaroo di nna kwa Botlhaba jwa Australia. Di nna ka ditlhopha tse dinnye tse di bidiwang mobs kgotsa mephato, mme gantsi di ka nna di feta 50. Fa di ikutlwa di le mo kotsing, di itaya lefatshe ka dinao tsa tsone tse di nonofileng go tlhagisa ba bangwe. Fa di lwa, di kgaba ka dinao mme ka dinako dingwe di a loma.	dikaŋarʊʊ di nna kwa bʊt͡ɬʰaba d͡ʒwa australia . di nna ka dit͡ɬʰʊpʰa t͡sɪ dinɲɪ t͡sɪ di bidiwaŋ mʊbs k͡χʰʊt͡sa mɪpʰatʊ , mmɪ χant͡si di ka nna di fɪta masʊmɪ a mat͡ɬʰanʊ . fa di ikut͡ɬwa di lɪ mʊ kʊt͡siŋ , di itaja lɪfat͡sʰɪ ka dinaʊ t͡sa t͡sʊnɪ t͡sɪ di nʊnʊfilɪŋ χʊ t͡ɬʰaχisa ba baŋwɪ . fa di lwa , di k͡χʰaba ka dinaʊ mmɪ ka dinakʊ diŋwɪ di a lʊma .
Ka ngwaga wa dikete pedi, masome a mabedi le bobedi, When Rain Clouds Gather e ne e akareditswe mo Big Jubilee Read, motseletsele wa dibuka di le masome a supa ka bakwadi ba mafatshe a selekanye ba ba neng ba di kwadile go ipelela dingwaga tsa ga Mma Mosadinyana di le masome a supa a ntse a le mo pusong.	ka ŋwaχa wa dikɪtɪ pɪdi , masʊmɪ a mabɪdi lɪ bʊbɪdi , whɪn rain klʊuds χatʰɪr ɪ nɪ ɪ akarɪdit͡swɪ mʊ biχ d͡ʒubilɪɪ rɪad , mʊt͡sɪlɪt͡sɪlɪ wa dibuka di lɪ masʊmɪ a supa ka bakwadi ba mafat͡sʰɪ a sɪlɪkaɲɪ ba ba nɪŋ ba di kwadilɪ χʊ ipɪlɪla diŋwaχa t͡sa χa mma mʊsadiɲana di lɪ masʊmɪ a supa a nt͡sɪ a lɪ mʊ pusʊŋ .
Ka ngwaga wa 2002, go ne ga tlhagoga bolwetse jwa tlhako le molomo kwa Matshelagabedi, mmogo le metse e mengwe e le meraro. Ga gone ga swa dikgomo tse di fetang dikete di le lesome le bobedi mo kgaolong ya Matshelagabedi. Puso e ne ya duela balemi-barui ka madi le diphologolo, mme ya tlhoma thulaganyo ya tiro ya namolo.	ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ bʊbɪdi , χʊ nɪ χa t͡ɬʰaχʊχa bʊlwɪt͡sɪ d͡ʒwa t͡ɬʰakʊ lɪ mʊlʊmʊ kwa mat͡sʰɪlaχabɪdi , mmʊχʊ lɪ mɪt͡sɪ ɪ mɪŋwɪ ɪ lɪ mɪrarʊ . χa χʊnɪ χa swa dik͡χʰʊmʊ t͡sɪ di fɪtaŋ dikɪtɪ di lɪ lɪsʊmɪ lɪ bʊbɪdi mʊ k͡χʰaʊlʊŋ ja mat͡sʰɪlaχabɪdi . pusʊ ɪ nɪ ja duɪla balɪmi barui ka madi lɪ dipʰʊlʊχʊlʊ , mmɪ ja t͡ɬʰʊma tʰulaχaɲʊ ja tirʊ ja namʊlʊ .
Sara Caetamo (yo o tshotsweng ka ngwaga wa 2003 ,Lwetse e tlhola malatsi a le boferabongwe ) ke motshameki wa (basketball) wa Angolang. Ke molebedi wa go thuntsha wa bogodimo jwa 5'8 yo o sa tswang go tshameka kwa Quinta dos Lombos mo Liga ya Basadi ya Sepotokisi.	sara kaɪtamʊ jʊ ʊ t͡sʰʊt͡swɪŋ ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ bʊrarʊ , lwɪt͡sɪ ɪ t͡ɬʰʊla malat͡si a lɪ bʊfɪrabʊŋwɪ kɪ mʊt͡sʰamɪki wa baskɪtball wa aŋʊlaŋ . kɪ mʊlɪbɪdi wa χʊ tʰunt͡sʰa wa bʊχʊdimʊ d͡ʒwa bʊt͡ɬʰanʊ bʊfɪra bʊbɪdi jʊ ʊ sa t͡swaŋ χʊ t͡sʰamɪka kwa kuinta dʊs lʊmbʊs mʊ liχa ja basadi ja sɪpʊtʊkisi .
Karolo:Baemedi ba lefatshe la Botswana ko Ditshaba kopanong ba sennela ruri	karʊlʊ , baɪmɪdi ba lɪfat͡sʰɪ la bʊt͡swana kʊ dit͡sʰaba kʊpanʊŋ ba sɪnnɪla ruri
Mandela: Long Walk to Freedom (2013) - Evelyn Mase	mandɪla , lʊŋ walk tʊ frɪɪdʊm dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊrarʊ ɪvɪljn masɪ
Go feta moo, go na le dikao tsa ditshwantsho tsa bodumedi (icons) tsa lekgolo la bo-18 la dingwaga go tswa kwa kgaolong ya Dnipro tse di nang le mekgabiso ya malomo, e e ka tsewang e le yone tshimologo ya mofuta wa gompieno wa Petrykivka. Ka ntlha ya boleng jono jwa ditso, mokgwa o o ne wa rurifadiwa semmuso ke ba UNESCO jaaka karolo ya boswa jwa setso jwa batho botlhe .	χʊ fɪta mʊʊ , χʊ na lɪ dikaʊ t͡sa dit͡sʰwant͡sʰʊ t͡sa bʊdumɪdi ikʊns t͡sa lɪk͡χʰʊlʊ la bʊ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi la diŋwaχa χʊ t͡swa kwa k͡χʰaʊlʊŋ ja dniprʊ t͡sɪ di naŋ lɪ mɪk͡χʰabisʊ ja malʊmʊ , ɪ ɪ ka t͡sɪwaŋ ɪ lɪ jʊnɪ t͡sʰimʊlʊχʊ ja mʊfuta wa χʊmpiɪnʊ wa pɪtrjkivka . ka nt͡ɬʰa ja bʊlɪŋ d͡ʒʊnʊ d͡ʒwa dit͡sʊ , mʊk͡χʰwa ʊ ʊ nɪ wa rurifadiwa sɪmmusʊ kɪ ba unɪskʊ d͡ʒaaka karʊlʊ ja bʊswa d͡ʒwa sɪt͡sʊ d͡ʒwa batʰʊ bʊt͡ɬʰɪ .
Ka ngwaga wa 1988, Mangwiro o ne a utlwa lefoko la sekgoa a "Lesbian" mo tsaleng ya gagwe, a ithuta gore go na le bomme ba bagwe ba ba tshwanang le ene ba ba ratanang le bomme jaaka bone.	ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊfɪra bʊbɪdi , maŋwirʊ ʊ nɪ a ut͡ɬwa lɪfʊkʊ la sɪk͡χʰʊa a lɪsbian mʊ t͡salɪŋ ja χaχwɪ , a itʰuta χʊrɪ χʊ na lɪ bʊmmɪ ba baχwɪ ba ba t͡sʰwanaŋ lɪ ɪnɪ ba ba ratanaŋ lɪ bʊmmɪ d͡ʒaaka bʊnɪ .
O ne a tlhatlhamiwa ke Annette Mukabera morago ga go mo fenya mo ditlhophong tsa Uganda tsa palamente tsa 2001.	ʊ nɪ a t͡ɬʰat͡ɬʰamiwa kɪ annɪttɪ mukabɪra mʊraχʊ χa χʊ mʊ fɪɲa mʊ dit͡ɬʰʊpʰʊŋ t͡sa uχanda t͡sa palamɪntɪ t͡sa dikɪtɪ t͡sɪ pɪdi lɪ bʊŋwɪ .
