Wikipedia Afrika-kan wɛrɛw minu tɛ carinen baw ye	wikipedia afrika kã wɛrɛw minu tɛ t͡ʃarinẽ baw je
Glosa ye dugukolo kan dɛmɛnan jɔlen ye min sinsinnen bɛ Interglossa kan (dɛmɛnkan dɔ sɛbɛn tɛmɛnen dɔ bɔra san 1943). Glosa daɲɛgafe fɔlɔ bɔra san 1978. Kan tɔgɔ bɔra gɛrɛkikan na glossa kɔrɔ ye kan walima kan.	ɡlosa je duɡukolo kã dɛmɛnã d͡ʒɔlẽ je mĩ sĩsĩnẽ bɛ ĩterɡlossa kã dɛmɛ̃kã dɔ sɛbɛ̃ tɛmɛnẽ dɔ bɔra sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni saba . ɡlosa daɲɛɡafe fɔlɔ bɔra sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni seɡĩ . kã tɔɡɔ bɔra ɡɛrɛkikã na ɡlossa kɔrɔ je kã walima kã .
San 1944, ka kɛɲɛ ni sɛgɛsɛgɛli jaabiw ye, AS-44 binkannikɛlan min dilanna A. I. Sudayev fɛ, o yamaruyara ka yiriwa ka taa a fɛ. A Bɔra 'sèn misɛnninw na, sɔrɔdasi-kɔrɔbɔli minnu Kɛra sàn nata kaban ni samiyɛ la GSOVG la, ka Fàra sɔrɔdasi-kulu damadɔ kan URSS jamana kɔnɔ. Hali ni seginnkanni ɲumanw kɛra, sɔrɔdasi ɲɛmɔgɔw y’a ɲini ka dɔ bɔ marifaw hakɛ la.	sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni naani , ka kɛɲɛ ni sɛɡɛsɛɡɛli d͡ʒaabiw je , as binaani ni naani bĩkãnikɛlã mĩ dilãna a . i . sudajev fɛ , o jamarujara ka jiriwa ka taa a fɛ . a bɔra sẽ misɛ̃nĩw na , sɔrɔdasi kɔrɔbɔli mĩnu kɛra sã nata kabã ni samijɛ la ɡsovɡ la , ka fara sɔrɔdasi kulu damadɔ kã urss d͡ʒamana kɔnɔ . hali ni seɡĩŋkãni ɲumãw kɛra , sɔrɔdasi ɲɛmɔɡɔw ja ɲini ka dɔ bɔ marifaw hakɛ la .
1965: Transvaal Academy, Johannesburg, South Africa	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni duuru , trãsvaal at͡ʃadẽj , d͡ʒohãnesburɡ , south afrit͡ʃa
1966: Trans-Natal, Natal Society for Arts, Durban, South Africa	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni wɔɔrɔ , trãs natal , natal sot͡ʃietj for arts , durbã , south afrit͡ʃa
1975: South African Sculpture, Goodman Gallery	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni duuru , south afrit͡ʃã st͡ʃulpture , ɡoodmã ɡallerj
1967: Sculpture South Africa, 1900: 1967, Adler Fielding Galleries, Johannesburg, South Africa	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni wolõwula , st͡ʃulpture south afrit͡ʃa , ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ , ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni wolõwula , adler fieldĩɡ ɡalleries , d͡ʒohãnesburɡ , south afrit͡ʃa
1982: Art towards Social Development: an Exhibition of South African Art, National Museum and Art Gallery, Gaborone, Botswana	ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biseɡĩ ni fila , art towards sot͡ʃial developmẽt , ã ekshibitiõ of south afrit͡ʃã art , national museũ ãd art ɡallerj , ɡaborone , botswana
Joël Claude Mpah Dooh ye kalanden ye min ye dɔnniyasɛmɛtiyasɛbɛn sɔrɔ Conservatoire Municipal des Beaux-Arts of Amiens (Faransi) la.	d͡ʒoel t͡ʃlaude mpah dooh je kalãdẽ je mĩ je dɔ̃nijasɛmɛtijasɛbɛ̃ sɔrɔ t͡ʃõservatoire munit͡ʃipal des beauks arts of amiẽs farãsi la .
Eclipse, solo exhibition, Fondation Jean Paul Blachère, Apt (Francia)	et͡ʃlipse , solo ekshibitiõ , fõdatiõ d͡ʒeã paul blat͡ʃhere , apt frãt͡ʃia
Les galeries plastiques itinérantes, Ouagadougou, Bamakɔ, Lome, Niamey, Akra, Dakar	les ɡaleries plastikues itinerãtes , ouaɡadouɡou , bamakɔ , lome , niamej , akra , dakar
Animismes, group show, Da Vinci Gallery, Nice	animismes , ɡroup ʃow , da vĩt͡ʃi ɡallerj , nit͡ʃe
Jɛkulu ka jirali, 7nan Hawana Biennale, Hawana	d͡ʒɛkulu ka d͡ʒirali , wolõwula nã hawana biẽnale , hawana
O filimu ye Prix Jutra tɔgɔlatɔn wɔɔrɔ sɔrɔ Jutra Jara 15nan na san 2013, ka kɛ ɲɛnajɛla ŋana (Trelles Turgeon), ɲɛnajɛla ŋana (Quesnel), Seko ni dɔnko ɲɛnabɔli ɲuman (Éric Barbeau), Sinema kɛcogo ɲuman (Mathieu Laverdière), dɔnkili fɔlɔ ɲuman (Normand Corbeil ) ani mankan ɲuman (Luc Boudrias, Marcel Chouinard ani Patrice Leblanc).	o filimu je priks d͡ʒutra tɔɡɔlatɔ̃ wɔɔrɔ sɔrɔ d͡ʒutra d͡ʒara tã ni duuru nã na sã ba fila ni tã ni saba , ka kɛ ɲɛnad͡ʒɛla ŋana trelles turɡeõ , ɲɛnad͡ʒɛla ŋana kuesnel , seko ni dɔ̃ko ɲɛnabɔli ɲumã erit͡ʃ barbeau , sinema kɛt͡ʃoɡo ɲumã mathieu laverdiere , dɔ̃kili fɔlɔ ɲumã normãd t͡ʃorbeil ani mãkã ɲumã lut͡ʃ boudrias , mart͡ʃel t͡ʃhouinard ani patrit͡ʃe leblãt͡ʃ .
Brendan Kelly, "Maana dibi, min bɛ mɔgɔ bila ka miiri, fanga bɛ min na cogo kabakoma na; Maana min bɛ taa dɔɔnin dɔɔnin, o lase ɲɛnamaya la ni mɔgɔ kabakomaw ye". Montréal Gazette, Ɔkutɔburukalo tile 26, san 2012.	brẽdã kellj , maana dibi , mĩ bɛ mɔɡɔ bila ka miiri , fãɡa bɛ mĩ na t͡ʃoɡo kabakoma na , maana mĩ bɛ taa dɔɔnĩ dɔɔnĩ , o lase ɲɛnamaja la ni mɔɡɔ kabakomaw je . mõtreal ɡazette , ɔkutɔburukalo tile muɡã ni wɔɔrɔ , sã ba fila ni tã ni fila .
Ɛsipaɲi, min bɛ wele fana ko Ɛsipaɲi masaya, ye jamana ye min bɛ jamana wɛrɛw la, Erɔpu tɔnba kɔnɔmɔgɔ don, min sigira senkan iko jamana min bɛ sariya kɔnɔ sigida ni demokarasi la ani min ka gɔfɛrɛnaman cogoya ye pariti masakɛ ye A ka mara, n’a faaba bɛ Madrid, labɛnna ka kɛ yɛrɛmahɔrɔnya jɛkulu tan ni wolonwula ye, minnu bɛ sigi senkan u nɔ na ni mara bi duuru ye ; ani yɛrɛmahɔrɔnya dugu fila .	ɛsipaɲi , mĩ bɛ wele fana ko ɛsipaɲi masaja , je d͡ʒamana je mĩ bɛ d͡ʒamana wɛrɛw la , erɔpu tɔ̃ba kɔnɔmɔɡɔ dõ , mĩ siɡira sẽkã iko d͡ʒamana mĩ bɛ sarija kɔnɔ siɡida ni demokarasi la ani mĩ ka ɡɔfɛrɛnamã t͡ʃoɡoja je pariti masakɛ je a ka mara , na faaba bɛ madrid , labɛ̃na ka kɛ jɛrɛmahɔrɔɲa d͡ʒɛkulu tã ni wolõwula je , mĩnu bɛ siɡi sẽkã u nɔ na ni mara bi duuru je , ani jɛrɛmahɔrɔɲa duɡu fila .
Sahara woroduguyanfan Afiriki ye hadamadenw ka denso ye, Homo sapiens wolola yɔrɔ min na, sisan cɛ, min ye farafinna jamanaw bɛɛ mara .	sahara woroduɡujãfã afiriki je hadamadẽw ka dẽso je , homo sapiẽs wolola jɔrɔ mĩ na , sisã t͡ʃɛ , mĩ je farafĩna d͡ʒamanaw bɛɛ mara .
Desertec porozɛ, min laɲini tun ye ka 0,3 dafa % dugukolo kungow miliyɔn na minnu bɛ tile funteni-sɛnɛyɔrɔw la, o tun bɛna dugukolo in kuran mago ɲɛ san 2009 ( TWh ɲɔgɔn/san ) , nka a tun bɛna kɛ jamanaw nafa kama, minnu nafa ka bon kosɛbɛ, a bɛ iko a tun bɛ nɛnɛ waati dɔɔnin dɔrɔn .	desertet͡ʃ porozɛ , mĩ laɲini tũ je ka fu saba dafa kɛmɛsarada duɡukolo kũɡow milijɔ̃ na mĩnu bɛ tile fũteni sɛnɛjɔrɔw la , o tũ bɛna duɡukolo ĩ kurã maɡo ɲɛ sã ba fila ni kɔnɔ̃tɔ̃ twh ɲɔɡɔ̃ sã , ŋka a tũ bɛna kɛ d͡ʒamanaw nafa kama , mĩnu nafa ka bõ kosɛbɛ , a bɛ iko a tũ bɛ nɛnɛ waati dɔɔnĩ dɔrɔ̃ .
O ye kan ye min bɛ mɔgɔ bila a dan na, a daɲɛsugu bɛ min na, a daɲɛsugu bɛ min na.	o je kã je mĩ bɛ mɔɡɔ bila a dã na , a daɲɛsuɡu bɛ mĩ na , a daɲɛsuɡu bɛ mĩ na .
Jɛkulu min bɛ se ka suma ni o ye, n’o ye Afrique-Équatoriale Française (AEF) ye, o sigira senkan Cɛma Afiriki san 1910 .	d͡ʒɛkulu mĩ bɛ se ka suma ni o je , no je afrikue ekuatoriale frãt͡ʃaise aef je , o siɡira sẽkã t͡ʃɛma afiriki sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã .
Fɛderasiyɔn in ma jɔ san 1958 Sɛtanburukalo la, jamanadenw ka lajɛba kɔfɛ Faransi jɛkulu nata kan, ani jamanadenw ka maraw ye wote kɛ walasa ka wuli ka kɛ yɛrɛmahɔrɔnya jamanaw ye, fo Gine, min ye wote kɛ yɛrɛmahɔrɔnya kama.	fɛderasijɔ̃ ĩ ma d͡ʒɔ sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biduuru ni seɡĩ sɛtãburukalo la , d͡ʒamanadẽw ka lad͡ʒɛba kɔfɛ farãsi d͡ʒɛkulu nata kã , ani d͡ʒamanadẽw ka maraw je wote kɛ walasa ka wuli ka kɛ jɛrɛmahɔrɔɲa d͡ʒamanaw je , fo ɡine , mĩ je wote kɛ jɛrɛmahɔrɔɲa kama .
San 1939, AOF ka sanu bɔli sera nɛgɛ , a fanba bɔra aluvium nafabɔli la ni sanu panni laadala fɛɛrɛw ye Kot divoire, Faransi Sudan ani kɛrɛnkɛrɛnnenya la Sanfɛ	sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bisaba ni kɔnɔ̃tɔ̃ , aof ka sanu bɔli sera nɛɡɛ , a fãba bɔra aluviũ nafabɔli la ni sanu pãni laadala fɛɛrɛw je kot divoire , farãsi sudã ani kɛrɛ̃kɛrɛ̃neɲa la sãfɛ
lamɛnni)), a bɛ fɔ fana ko Valence-sur-Rhône, ye Faransi dugu ye ani komini min bɛ Drôme mara la, Auvergne-Rhône-Alpes mara la. tariku kɔnɔ, a ni Dauphiné mara kɔrɔ bɛ tali kɛ ɲɔgɔn na .	lamɛ̃ni , a bɛ fɔ fana ko valẽt͡ʃe sur rhone , je farãsi duɡu je ani komini mĩ bɛ drome mara la , auverɡne rhone alpes mara la . tariku kɔnɔ , a ni dauphine mara kɔrɔ bɛ tali kɛ ɲɔɡɔ̃ na .
Denmisɛnw ka telewisɔn ɲɛmɔgɔba don, a ye baara kɛ san 1991 Disney Club la, a tora yen fo san 1994, o kɔfɛ a seginna san kelen o kɔfɛ fo san 1999 ni Francesca Barberini ye fila-fila. O san na, a ye telewisɔn ka ɲɛjirali dɔ fana kɛ min tɔgɔ ye ko Big!	dẽmisɛ̃w ka telewisɔ̃ ɲɛmɔɡɔba dõ , a je baara kɛ sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni kelẽ disnej t͡ʃlub la , a tora jẽ fo sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni naani , o kɔfɛ a seɡĩna sã kelẽ o kɔfɛ fo sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni kɔnɔ̃tɔ̃ ni frãt͡ʃest͡ʃa barberini je fila fila . o sã na , a je telewisɔ̃ ka ɲɛd͡ʒirali dɔ fana kɛ mĩ tɔɡɔ je ko biɡ !
Nizɛri, Mali ani Burukina Faso y’a jira k’u bɛ bɔ jɛkulu in kɔnɔ san 2024 zanwuyekalo tile 28, o ye ko ye min ɲɔgɔn ma deli ka kɛ kabini CEDEAO dabɔra, k’a jira kɛrɛnkɛrɛnnenya la, dɛmɛnbaliya jɛkulu in fɛ terrorisme ɲɛkɔrɔ, k’a jalaki ko a bɛ... jamana wɛrɛw ka fanga ka fanga.	nizɛri , mali ani burukina faso ja d͡ʒira ku bɛ bɔ d͡ʒɛkulu ĩ kɔnɔ sã ba fila ni muɡã ni naani zãwujekalo tile muɡã ni seɡĩ , o je ko je mĩ ɲɔɡɔ̃ ma deli ka kɛ kabini t͡ʃedeao dabɔra , ka d͡ʒira kɛrɛ̃kɛrɛ̃neɲa la , dɛmɛ̃balija d͡ʒɛkulu ĩ fɛ terrorisme ɲɛkɔrɔ , ka d͡ʒalaki ko a bɛ . d͡ʒamana wɛrɛw ka fãɡa ka fãɡa .
Şalpazarı, min tun bɛ wele fɔlɔ ko Ağasar, ye Trabzon mara ye. A ni Trabzon cɛ ye bam 69 ye. Kɔgɔji Dugulen mara la Ottoman Mansamara ka mara kɔnɔ, a tun bɛ Görele mara la, min tun bɛ Trabzon la o waati la, nka san 1798 a tun bɛ Vakfıkebir mara la. A ka mɔgɔw yɔrɔ min nafa ka bon kosɛbɛ o ye Turkmen/Chepni ye.	salpazari , mĩ tũ bɛ wele fɔlɔ ko aɡasar , je trabzõ mara je . a ni trabzõ t͡ʃɛ je bã biwɔɔrɔ ni kɔnɔ̃tɔ̃ je . kɔɡɔd͡ʒi duɡulẽ mara la ottomã mãsamara ka mara kɔnɔ , a tũ bɛ ɡorele mara la , mĩ tũ bɛ trabzõ la o waati la , ŋka sã ba kelẽ ni kɛmɛ wolõwula ni bikɔnɔ̃tɔ̃ ni seɡĩ a tũ bɛ vakfikebir mara la . a ka mɔɡɔw jɔrɔ mĩ nafa ka bõ kosɛbɛ o je turkmẽ t͡ʃhepni je .
Silamɛw fanba, Soninkew tun ye siya fɔlɔ dɔ ye ka bɔ Tilebi Afrika ka silamɛya kɛ silamɛya la san kɛmɛda 10nan ɲɔgɔn na. Sonikekaw ka bi jamanaden hakɛ bɛ Tɛmɛ miliyɔn 2 kan. Soninkekaw ka laadalakow bɛ tali kɛ Mandekaw ta la, ani Moritani Imiragenw ta. U dɔw ye silamɛya laadala furusiriw ye, bolokoli, ani u bɛ ni sigida tilali ye. .	silamɛw fãba , sonĩkew tũ je sija fɔlɔ dɔ je ka bɔ tilebi afrika ka silamɛja kɛ silamɛja la sã kɛmɛda tã nã ɲɔɡɔ̃ na . sonikekaw ka bi d͡ʒamanadẽ hakɛ bɛ tɛmɛ milijɔ̃ fila kã . sonĩkekaw ka laadalakow bɛ tali kɛ mãdekaw ta la , ani moritani imiraɡẽw ta . u dɔw je silamɛja laadala furusiriw je , bolokoli , ani u bɛ ni siɡida tilali je .
San 1960w la, 20th Century Fox donna wariko gɛlɛya waati dɔ la, a labanna ka sɔrɔ American International Pictures fɛ san 1966. O studio in ka nafolo jiginna san 1970 waatiw la, waati min na a ye filimu caman sɔrɔ minnu ye mɔgɔw nisɔndiya i n’a fɔ "Star Wars," Ja laban jirali," ani "Alien."	sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ w la , muɡã th t͡ʃẽturj foks dõna wariko ɡɛlɛja waati dɔ la , a labãna ka sɔrɔ amerit͡ʃã ĩternational pit͡ʃtures fɛ sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni wɔɔrɔ . o studio ĩ ka nafolo d͡ʒiɡĩna sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula waatiw la , waati mĩ na a je filimu t͡ʃamã sɔrɔ mĩnu je mɔɡɔw nisɔ̃dija i na fɔ star wars , d͡ʒa labã d͡ʒirali , ani aliẽ .
2CH tun ye jagokɛyɔrɔ ye Sydney, Ɔsitarali jamana na, min datugulen don zuwɛnkalo tile 10 san 2022 a kɛlen kɔ ka san 90 ni kɔ kɛ fiɲɛ na A tun bɛ Pacific Star Network bolo. Sani o ka Kɛ telewisɔn in cogoya Yɛlɛmana zuwɛnkalo tle 10 san 2022.	fila t͡ʃh tũ je d͡ʒaɡokɛjɔrɔ je sjdnej , ɔsitarali d͡ʒamana na , mĩ datuɡulẽ dõ zuwɛ̃kalo tile tã sã ba fila ni muɡã ni fila a kɛlẽ kɔ ka sã bikɔnɔ̃tɔ̃ ni kɔ kɛ fiɲɛ na a tũ bɛ pat͡ʃifit͡ʃ star network bolo . sani o ka kɛ telewisɔ̃ ĩ t͡ʃoɡoja jɛlɛmana zuwɛ̃kalo tle tã sã ba fila ni muɡã ni fila .
Yɛrɛfaga ye Waleya ye min kɔnɔ Mɔgɔ bɛ sa a yɛrɛ ma, Mɔgɔ 720.000 bɛ sa Yɛrɛfaga fɛ San o san , U bɛ sa misali la ni Nooses ye, Shooting, ka bin boon kan, a ɲɔgɔnnaw	jɛrɛfaɡa je waleja je mĩ kɔnɔ mɔɡɔ bɛ sa a jɛrɛ ma , mɔɡɔ ba kɛmɛ wolõwula ni muɡã bɛ sa jɛrɛfaɡa fɛ sã o sã , u bɛ sa misali la ni nooses je , ʃootĩɡ , ka bĩ boõ kã , a ɲɔɡɔ̃naw
Abila Poku tun ye farafinna ka masamuso dɔ ye. A ka waati tun ye sankɛmɛ tan ni sabanan. A ye bawule masaya jɔ.	abila poku tũ je farafĩna ka masamuso dɔ je . a ka waati tũ je sãkɛmɛ tã ni sabanã . a je bawule masaja d͡ʒɔ .
A bɔra a ka premiyɛri minisiri ɲɛmɔgɔya la Kongo kɔntilili waati (Septanburu 1960), a minɛra, nka a bɔra libɛri la nɔɔma, a minɛra kɔfɛ 1 Desanburu. A dira Katanga jamana ma, a faga 17 Zanwiyɛ 1961.	a bɔra a ka premijɛri minisiri ɲɛmɔɡɔja la kõɡo kɔ̃tilili waati septãburu ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ , a minɛra , ŋka a bɔra libɛri la nɔɔma , a minɛra kɔfɛ kelẽ desãburu . a dira katãɡa d͡ʒamana ma , a faɡa tã ni wolõwula zãwijɛ ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni kelẽ .
- Chanteurs traditionnels des Iles Seychelles (1978) – *Seychelles ka donkilidala kɔrɔw*	t͡ʃhãteurs traditiõnels des iles sejt͡ʃhelles ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni seɡĩ sejt͡ʃhelles ka dõkilidala kɔrɔw
Sɛbɛnin do bankira 1949 la , a tɔgɔ N'ko, o bɛ Mandenkan n'a tɔgɔ caaman nin bɛɛ sɛbɛn ka ɲa.	sɛbɛnĩ do bãkira ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni kɔnɔ̃tɔ̃ la , a tɔɡɔ n ko , o bɛ mãdẽkã na tɔɡɔ t͡ʃaamã nĩ bɛɛ sɛbɛ̃ ka ɲa .
Alpha Oumar Konaré nana san 1992 ka san duru kɛ o kɔfɛ ka san duru wɛrɛ kɛ ka sɔrɔ ka bila san 2002 o kɔfɛ Gɛnɛralɛ amadou toumni toure nana fanga kura kɛ san 2002 ka ta bila san 2007 ni mandat cura daminɛ san 2007 en bɛo mandant dɛ cɔnɔ a li bi	alpha oumar konare nana sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni fila ka sã duru kɛ o kɔfɛ ka sã duru wɛrɛ kɛ ka sɔrɔ ka bila sã ba fila ni fila o kɔfɛ ɡɛnɛralɛ amadou toũni toure nana fãɡa kura kɛ sã ba fila ni fila ka ta bila sã ba fila ni wolõwula ni mãdat t͡ʃura daminɛ sã ba fila ni wolõwula ẽ bɛo mãdãt dɛ t͡ʃɔnɔ a li bi
Mali kɔnɔ commune kɛmɛ wolofila (703 commune) ni saba dɛ bɛ ni o fanba bɛ kɛra san 1996 là	mali kɔnɔ t͡ʃõmune kɛmɛ wolofila kɛmɛ wolõwula ni saba t͡ʃõmune ni saba dɛ bɛ ni o fãba bɛ kɛra sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni wɔɔrɔ la
An ka diamana niɛnɔgɔ yɛ a yira ko fosa dew ka bugu san 2006, yɛ yira ka fɔ ko dugu dɛw diamana sikida tiɛni dugu kɔnɔ o kɔson diamana yɛ sira dɔ ta ni yɛ dugu dew ka lafia sɔrɔ ni koii na.A yɛ a nini jamana dew fɛ u ka ji ko matarafa, u ka kuko matarafa, ni baga, ni an ka kungokolonba kɛlɛ.Mali niɛnɔgɔ yɛ a nini a ka dugu dew fɛ u ka diɛ ka taniɛ nienini siria bolo dɔ kan.	ã ka diamana niɛnɔɡɔ jɛ a jira ko fosa dew ka buɡu sã ba fila ni wɔɔrɔ , jɛ jira ka fɔ ko duɡu dɛw diamana sikida tiɛni duɡu kɔnɔ o kɔsõ diamana jɛ sira dɔ ta ni jɛ duɡu dew ka lafia sɔrɔ ni koii na . a jɛ a nini d͡ʒamana dew fɛ u ka d͡ʒi ko matarafa , u ka kuko matarafa , ni baɡa , ni ã ka kũɡokolõba kɛlɛ . mali niɛnɔɡɔ jɛ a nini a ka duɡu dew fɛ u ka diɛ ka taniɛ nienini siria bolo dɔ kã .
Croissance urbaine et modification de l'environnement - Cadre de vie des citadins en Afrique subsaharienne - L'exemple de Bamako - Nicolas Rémy-Thomas, mémoire de maîtrise présenté à l'université de Provence, 1994/1995	t͡ʃroissãt͡ʃe urbaine et modifit͡ʃatiõ de lẽvirõnemẽt t͡ʃadre de vie des t͡ʃitadĩs ẽ afrikue subsahariẽne leksẽple de bamako nit͡ʃolas rẽj thomas , memoire de maitrise presẽte a luniversite de provẽt͡ʃe , ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni naani ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni duuru
Dofɛrɛtɛda UNICOD ye N'ko bil'a ka jate la k'a sɛbɛden bɛɛ sɔ ni fɛrɛtɛ do ye 2005 la, Microsof na na N'ko bil'a ka Windows7 la k'a bila dunia sugufew la octobru kalo tile 22/2009, walasa o bɛ dɛmɛnin kɛ n'ko fana ye sɔrɔ Wikinpediya baaraw l'a sɛbɛnin kɛbagaw ye, i n'afo kɔge nin: sidigen nin.	dofɛrɛtɛda unit͡ʃod je n ko bil a ka d͡ʒate la ka sɛbɛdẽ bɛɛ sɔ ni fɛrɛtɛ do je ba fila ni duuru la , mit͡ʃrosof na na n ko bil a ka wĩdows wolõwula la ka bila dunia suɡufew la ot͡ʃtobru kalo tile muɡã ni fila ba fila ni kɔnɔ̃tɔ̃ , walasa o bɛ dɛmɛnĩ kɛ n ko fana je sɔrɔ wikĩpedija baaraw la sɛbɛnĩ kɛbaɡaw je , i nafo kɔɡe nĩ , sidiɡẽ nĩ .
Podobský, Jaroslav (1935/1947) Li astres del Verne.	podobskj , d͡ʒaroslav ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bisaba ni duuru ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni wolõwula li astres del verne .
Caselle Landi, ye Italy ka dugu ye. A ane Lodi cɛ kilometiri 38. Dugumogo be taa 1.00 jon yooro.	t͡ʃaselle lãdi , je italj ka duɡu je . a ane lodi t͡ʃɛ kilometiri bisaba ni seɡĩ . duɡumoɡo be taa kelẽ fu fu d͡ʒõ jooro .
Body of Sung Jae-gi found in Han River Koreaherald 2013.07.29 (Angilɛkan)	bodj of sũɡ d͡ʒae ɡi foũd ĩ hã river koreaherald ba fila ni tã ni saba . wolõwula . muɡã ni kɔnɔ̃tɔ̃ ãɡilɛkã
Police continue search for missing men's rights activist yonhapnews 2013.07.27 (Angilɛkan)	polit͡ʃe t͡ʃõtinue seart͡ʃh for missĩɡ mẽ s riɡhts at͡ʃtivist jõhapnews ba fila ni tã ni saba . wolõwula . muɡã ni wolõwula ãɡilɛkã
Activist's 'suicide' causes huge stir Koreatimes 2013.07.26 (Angilɛkan)	at͡ʃtivist s suit͡ʃide t͡ʃauses huɡe stir koreatimes ba fila ni tã ni saba . wolõwula . muɡã ni wɔɔrɔ ãɡilɛkã
Seoul ‘Bridge of Life’ Attracts More Suicide Attempts korearealtime 2013.11.08 (Angilɛkan)	seoul bridɡe of life attrat͡ʃts more suit͡ʃide attẽpts korearealtime ba fila ni tã ni saba . tã ni kelẽ . seɡĩ ãɡilɛkã
Mali yɛ dugu mi bɛ tanɛ sira kan,ni 65% yɛ bɛ yɛ kungokolon ye. A diago fanba bɛ kɛ badayanfa fɛ niger ba kan.	mali jɛ duɡu mi bɛ tanɛ sira kã , ni biwɔɔrɔ ni duuru kɛmɛsarada jɛ bɛ jɛ kũɡokolõ je . a diaɡo fãba bɛ kɛ badajãfa fɛ niɡer ba kã .
Mali bɛ ma hakɛ million tan ni fila ni ma baw kɛmɛ saba dɛ la ni muso ni dɛw yɛ o 50.5%.Diakoin bɛ mali u la yɛ sira fin barsa u bɛ diamana den (13.3% la san 2006).6	mali bɛ ma hakɛ milliõ tã ni fila ni ma baw kɛmɛ saba dɛ la ni muso ni dɛw jɛ o biduuru duuru kɛmɛsarada . diakoĩ bɛ mali u la jɛ sira fĩ barsa u bɛ diamana dẽ tã ni saba saba kɛmɛsarada la sã ba fila ni wɔɔrɔ . wɔɔrɔ
Mali kono, Silamen ye jamanaden den 90%, Kretienw ye 5%, a to 5% yeBolibatolaw ye, a ka gɛlɛ i ka misiri yɛ dugu misɛnin nà nga fɔlɔla laba bɛ lakilɛ alibi i na fɔ boliso.	mali kono , silamẽ je d͡ʒamanadẽ dẽ bikɔnɔ̃tɔ̃ kɛmɛsarada , kretiẽw je duuru kɛmɛsarada , a to duuru kɛmɛsarada jebolibatolaw je , a ka ɡɛlɛ i ka misiri jɛ duɡu misɛnĩ na ŋɡa fɔlɔla laba bɛ lakilɛ alibi i na fɔ boliso .
Mali dugu dɛw u kila lɛ do ni sia tiama dɛ yɛ:keneka (nord)Maures,ni Kountas,ni souraka u bɛ, o lu yɛ dugu dew 10 % u ka bara ladala, bɛ gomme arabique dɛ diago a ni bagan mara o lu nafa sɔrɔ sira bɛ yɛ o dɛ.	mali duɡu dɛw u kila lɛ do ni sia tiama dɛ jɛ , keneka nord maures , ni koũtas , ni souraka u bɛ , o lu jɛ duɡu dew tã kɛmɛsarada u ka bara ladala , bɛ ɡõme arabikue dɛ diaɡo a ni baɡã mara o lu nafa sɔrɔ sira bɛ jɛ o dɛ .
Bamakɔ 90 % yɛ silamɛ yɛ. Wa Bamakɔ madɛrsa ni a ka misiri ka caa kojugu.	bamakɔ bikɔnɔ̃tɔ̃ kɛmɛsarada jɛ silamɛ jɛ . wa bamakɔ madɛrsa ni a ka misiri ka t͡ʃaa kod͡ʒuɡu .
