ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
فرانكلىن يەنە مۇنەۋۋەر سىياسىئون، ئامېرىكا مۇستەقىللىق ئۇرۇشىدىكى پېشقەدەم جەڭچى. ئۇ «مۇستەقىللىق خىتابنامىسى» ۋە ئامېرىكا ئاساسىي قانۇنىنى تەييارلاشقا قاتناشقان، قۇللۇق تۈزۈمنى بىكار قىلىشنى پائال تەشەببۇس قىلىپ، ئامېرىكا خەلقىنىڭ ھۆرمىتىگە سازاۋەر بولغان.	prɑnklin jɛnɛ munɛwwɛr sijɑsiʔon , ʔɑmerikɑ mustɛqilliq ʔuruʃidiki peʃqɛdɛm d͡ʒɛŋt͡ʃi . ʔu mustɛqilliq χitɑbnɑmisi wɛ ʔɑmerikɑ ʔɑsɑsij qɑnunini tɛjjɑrlɑʃqɑ qɑtnɑʃqɑn , qulluq tyzymni bikɑr qiliʃni pɑʔɑl tɛʃɛbbus qilip , ʔɑmerikɑ χɛlqiniŋ hørmitiɡɛ sɑzɑwɛr bolʁɑn .
بۇخەلچەمنىڭ كۆپلىگەن يۇقىرى سەۋىيەلىك تەتقىقات نەتىجىلىرى خەلقئارادىكى نوپۇزلۇق ژۇرناللاردا ئېلان قىلىنغان بولۇپ، ئۇ ئاشۇنداق ئىلمىي ماقالىلەرنى ئېلان قىلىشنى ھازىرمۇ ئوخشاشلا داۋاملاشتۇرۇۋاتىدۇ. ئەڭ مۇھىمى، بۇخەلچەم ھازىر جۇغراپىيە، فىزىكا، خىمىيە، بىئولوگىيە ۋە مۇھىت دېگەندەك كەسىپلەردە ماگىستىر، دوكتور ۋە پوستدوكتور ئوقۇغۇچىلىرىغا يېتەكچى بولۇۋاتىدۇ.	buχɛlt͡ʃɛmniŋ køpliɡɛn juqiri sɛwijɛlik tɛtqiqɑt nɛtid͡ʒiliri χɛlqʔɑrɑdiki nopuzluq ʒurnɑllɑrdɑ ʔelɑn qilinʁɑn bolup , ʔu ʔɑʃundɑq ʔilmij mɑqɑlilɛrni ʔelɑn qiliʃni hɑzirmu ʔoχʃɑʃlɑ dɑwɑmlɑʃturuwɑtidu . ʔɛŋ muhimi , buχɛlt͡ʃɛm hɑzir d͡ʒuʁrɑpijɛ , pizikɑ , χimijɛ , biʔoloɡijɛ wɛ muhit deɡɛndɛk kɛsiplɛrdɛ mɑɡistir , doktor wɛ postdoktor ʔoquʁut͡ʃiliriʁɑ jetɛkt͡ʃi boluwɑtidu .
4. قازان تەييار بولغاندا، كېسىلگەن خېمىرنى سېلىپ 3-2 مىنۇت قاينىتىپ، يۇمغاقسۈت ۋە سامساقنى سېلىپ ئارىلاشتۇرۇپلا قاچىلارغا ئۇسۇلىدۇ.	tøt . qɑzɑn tɛjjɑr bolʁɑndɑ , kesilɡɛn χemirni selip ʔyt͡ʃ ʔikki minut qɑjnitip , jumʁɑqsyt wɛ sɑmsɑqni selip ʔɑrilɑʃturuplɑ qɑt͡ʃilɑrʁɑ ʔusulidu .
ئىشلىتىش مىقدارى: كۈنىگە ئىككى قېتىم ھۆللەنگەن پەلكۈچنى سوقۇلغان دورىغا مىلەپ بۇرۇن ئىچىگە تىقىپ قويۇلىدۇ.	ʔiʃlitiʃ miqdɑri kyniɡɛ ʔikki qetim høllɛnɡɛn pɛlkyt͡ʃni soqulʁɑn doriʁɑ milɛp burun ʔit͡ʃiɡɛ tiqip qojulidu .
مىرزا ئۇلۇبەگ «تۆت ئۇلۇس تارىخىي» ناملىق كىتاپنىڭ تاشكەنت يازغۇچى نەشىرىياتى تەرىپىدىن 1994-يىلى نەشىر قىلىنغان ئۆزبېكچە نەشىرىگە ئاساسەن ئۇيغۇرچىلاشتۇرۇلدى.	mirzɑ ʔulubɛk tøt ʔulus tɑriχij nɑmliq kitɑpniŋ tɑʃkɛnt jɑzʁut͡ʃi nɛʃirijɑti tɛripidin miŋ toqquz jyz toqsɑn tøtint͡ʃi jili nɛʃir qilinʁɑn ʔøzbekt͡ʃɛ nɛʃiriɡɛ ʔɑsɑsɛn ʔujʁurt͡ʃilɑʃturuldi .
رەسۇلۇللاھنىڭ كەلگەن خەۋىرى پۈتۈن ئەرەب قەبىلىلىرىگە يېتىپ مەلۇم بولدى. ئەبۇ سوپياننىڭ بۇ توغرىدىكى خىياللىرى بەربات بولغاندىن كېيىن، نۇئەيىم ئىبنى مەسئۇدنىڭ تارقاتقان يالغان خەۋىرىدىن مۇھەممەدىنىڭ ئەسكەرلىرى قورقۇشۇپ، بۇ سەپەرگە چىقماي قالسا ئەجەب ئەمەس دېگەن ئۇمىدى كېسىلدى.	rɛsulullɑhniŋ kɛlɡɛn χɛwiri pytyn ʔɛrɛp qɛbililiriɡɛ jetip mɛlum boldi . ʔɛbu sopjɑnniŋ bu toʁridiki χijɑlliri bɛrbɑt bolʁɑndin kejin , nuʔɛjim ʔibni mɛsʔudniŋ tɑrqɑtqɑn jɑlʁɑn χɛwiridin muhɛmmɛdiniŋ ʔɛskɛrliri qorquʃup , bu sɛpɛrɡɛ t͡ʃiqmɑj qɑlsɑ ʔɛd͡ʒɛp ʔɛmɛs deɡɛn ʔumidi kesildi .
1901 – يىل 2- ئاينىڭ 9- كۈنى تاڭ سەھەردە، تۇرپان يېڭىشەھەردىكى ئاۋات سودا دۇكانلىرى جايلاشقان بىر كوچىدا، مەرىپەتپەرۋەر تىجارەتچى ئابدۇراخمان مەخسۇم ئائىلىسىدە بىر ئوغۇل دۇنياغا كۆز ئاچتى. بۇ بوۋاق كېيىنكى ۋاقىتلاردىكى ئۇيغۇر يېڭى دېموكراتىك ئەدەبىياتىنىڭ بايراقدارى، ۋەتەنپەرۋەر ئىلغار شائىر، تىز پۈكمەس مەرىپەتچى، ئوت يۈرەك ئىنقىلابچى ئابدۇخالىق ئۇيغۇر ئىدى.	miŋ toqquz jyz birint͡ʃi jil ʔikkint͡ʃi ʔɑjniŋ toqquzint͡ʃi kyni tɑŋ sɛhɛrdɛ , turpɑn jeŋiʃɛhɛrdiki ʔɑwɑt sodɑ dukɑnliri d͡ʒɑjlɑʃqɑn bir kot͡ʃidɑ , mɛripɛtpɛrwɛr tid͡ʒɑrɛtt͡ʃi ʔɑbdurɑχmɑn mɛχsum ʔɑʔilisidɛ bir ʔoʁul dunjɑʁɑ køz ʔɑt͡ʃti . bu bowɑq kejinki wɑqitlɑrdiki ʔujʁur jeŋi demokrɑtik ʔɛdɛbijɑtiniŋ bɑjrɑqdɑri , wɛtɛnpɛrwɛr ʔilʁɑr ʃɑʔir , tiz pykmɛs mɛripɛtt͡ʃi , ʔot jyrɛk ʔinqilɑbt͡ʃi ʔɑbduχɑliq ʔujʁur ʔidi .
دېمەك ئادەم بىلەن ئالەمنىڭ بىردەكلىك قانۇنىيىتى يەنىمۇ ئىلگىرىلىگەن ھالدا، تادۇچى بۇرادەرلەرنىڭ، بولۇپمۇ ئاتا بوۋىسى پەيلاسوپ پەرزەنتلەرنىڭ ئىچىشىنى قىزىشىنى ساقلاپ تۇرماقتا.	demɛk ʔɑdɛm bilɛn ʔɑlɛmniŋ birdɛklik qɑnunijiti jɛnimu ʔilɡiriliɡɛn hɑldɑ , tɑdut͡ʃi burɑdɛrlɛrniŋ , bolupmu ʔɑtɑ bowisi pɛjlɑsop pɛrzɛntlɛrniŋ ʔit͡ʃiʃini qiziʃini sɑqlɑp turmɑqtɑ .
2. پروفېسسور ئە . ي . بىرتىلىس : “ئەھمەد يۈكنەكىنىڭ (ھىبەتۇلھەقايىق) داستانى” ( نۇسقا) ناملىق ماقالىسىدا ، بۇ داستان 235 بېيت ، 11 بابقا بۆلىنىدۇ دەپ كۆرسەتكەن . (“بۇلاق” ژۇرنىلى ، 1981 – يىل 3 – سان ، 261 – بەتكە قارالسۇن) .	ʔikki . propessor ʔɛ . j . birtilis ʔɛhmɛt jyknɛkiniŋ hibɛtulhɛqɑjiq dɑstɑni nusqɑ nɑmliq mɑqɑlisidɑ , bu dɑstɑn ʔikki jyz ʔottuz bɛʃ bejt , ʔon bir bɑbqɑ bølinidu dɛp kørsɛtkɛn . bulɑq ʒurnili , miŋ toqquz jyz sɛksɛn birint͡ʃi jil ʔyt͡ʃint͡ʃi sɑn , ʔikki jyz ʔɑtmiʃ birint͡ʃi bɛtkɛ qɑrɑlsun .
– دۆلەت خەۋپسىزلىكى نۇقتىسىدىن مەخپىي ئۇچۇر ۋە خەۋەرلەرنى ئاڭلاش ۋە تارقىتىشنىڭ ئالدىنى ئېلىش.	dølɛt χɛwpsizliki nuqtisidin mɛχpij ʔut͡ʃur wɛ χɛwɛrlɛrni ʔɑŋlɑʃ wɛ tɑrqitiʃniŋ ʔɑldini ʔeliʃ .
ئۇنداقتا نېمە ئۈچۈن دۆلىتىمىزدە ئىقتىسادشۇناسلار ۋە تەشكىلىگۈچى باشلامچىلار يېتىشىپ چىقمىدى؟	ʔundɑqtɑ nemɛ ʔyt͡ʃyn dølitimizdɛ ʔiqtisɑdʃunɑslɑr wɛ tɛʃkiliɡyt͡ʃi bɑʃlɑmt͡ʃilɑr jetiʃip t͡ʃiqmidi ?
5. ‹‹دادام پالانچىنىڭ قېرىنداشلىرى››، بۇنىڭدا-دادىسىنىڭ قېرىنداشلىرى ۋە ھەر بىرىنىڭ ئائىلە ئەزالىرى ئايرىم-ئايرىم ھالدا تەپسىلى تونۇشتۇرىلىدۇ. (ئىسمى، سالاھىتى، تۇغۇلغان ئورنى، ۋاقتى، ھازىرقى تۇرۇشلۇق ئورنى قاتارلىقلار ئېنىق يېزىلىدۇ.)	bɛʃ . dɑdɑm pɑlɑnt͡ʃiniŋ qerindɑʃliri , buniŋdɑ dɑdisiniŋ qerindɑʃliri wɛ hɛr biriniŋ ʔɑʔilɛ ʔɛzɑliri ʔɑjrim ʔɑjrim hɑldɑ tɛpsili tonuʃturilidu . ʔismi , sɑlɑhiti , tuʁulʁɑn ʔorni , wɑqti , hɑzirqi turuʃluq ʔorni qɑtɑrliqlɑr ʔeniq jezilidu .
بۇنىڭدىن كۆرۈشكە بولىدۇكى، بىز ئېھتىياج بولۇۋاتقان مەپكۇرە مىللەتچىلىك ئاساسىدىكى بىر مەپكۇرەدۇر. شۇڭا ئوتتۇرىغا قويۇلىدىغان مەپكۇرە / ئىدېئولوگىيە ئالدى بىلەن ئۇيغۇرلارنىڭ رېئاللىقىغا، ئاندىن ھازىرقى دۇنيانىڭ شەرت-شارائىتلىرىغا ۋە خەلقئارالىق ئاساسىي ئېقىمغا ئۇيغۇن بولۇشى كېرەك.	buniŋdin køryʃkɛ boliduki , biz ʔehtijɑd͡ʒ boluwɑtqɑn mɛpkurɛ millɛtt͡ʃilik ʔɑsɑsidiki bir mɛpkurɛdur . ʃuŋɑ ʔotturiʁɑ qojulidiʁɑn mɛpkurɛ ʔideʔoloɡijɛ ʔɑldi bilɛn ʔujʁurlɑrniŋ reʔɑlliqiʁɑ , ʔɑndin hɑzirqi dunjɑniŋ ʃɛrt ʃɑrɑʔitliriʁɑ wɛ χɛlqʔɑrɑliq ʔɑsɑsij ʔeqimʁɑ ʔujʁun boluʃi kerɛk .
7.بىر مو ئورمانلىق بىر يىلدا 200 ~ 500 كىلوگرامغىچە شاخ-شۇمبا، ئوتۇن ئىشلەپچىقىرىدۇ.	jɛttɛ . bir mo ʔormɑnliq bir jildɑ ʔikki jyz bɛʃ jyz kiloɡrɑmʁit͡ʃɛ ʃɑχ ʃumbɑ , ʔotun ʔiʃlɛpt͡ʃiqiridu .
1990-يىلىدىن باشلاپ سوۋېت ئىتتىپاقى پارچىلىنىدۇ. بۇ ۋاقىتتىن باشلاپ تۈركىيەدىكى شەرقىي تۈركىستان دەۋاسى كۈندىن-كۈنگە كۈچىيىپ داۋاملىشىدۇ.	miŋ toqquz jyz toqsɑnint͡ʃi jilidin bɑʃlɑp sowet ʔittipɑqi pɑrt͡ʃilinidu . bu wɑqittin bɑʃlɑp tyrkijɛdiki ʃɛrqij tyrkistɑn dɛwɑsi kyndin kynɡɛ kyt͡ʃijip dɑwɑmliʃidu .
نىكولا تېسلا (سېربىيە پۇشتىدىن بولغان ئامېرىكا تەۋەلىكىدىكى ئالىم) 1856-يىلى 7-ئاينىڭ 10-كۈنى كرودىيە دىكى سىمۋەن كەنتىدىكى سېربان ئائىلىسىدە تۇغۇلغان، ئۆمۈر بويى ئۆيلەنمىگەن تېسلا 1943-يىلى 1-ئاينىڭ 7-كۈنى نيۇيوركلۇق ئادەمنىڭ مېھمانخانىسىدا يۈرەك زەئىپلىشىش كېسىلى بىلەن 86 يېشىدا ئالەمدىن ئۆتكەن. سېربىيە پۇشتىدىن بولغان ئامېرىكىلىق كەشپىياتچى، مېخانىكا ئىنژېنېرى، ئېلېكتر ئىنژېنېرى.	nikolɑ teslɑ serbijɛ puʃtidin bolʁɑn ʔɑmerikɑ tɛwɛlikidiki ʔɑlim miŋ sɛkkiz jyz ʔɛllik ʔɑltint͡ʃi jili jɛttint͡ʃi ʔɑjniŋ ʔonint͡ʃi kyni krodijɛ diki simwɛn kɛntidiki serbɑn ʔɑʔilisidɛ tuʁulʁɑn , ʔømyr boji ʔøjlɛnmiɡɛn teslɑ miŋ toqquz jyz qiriq ʔyt͡ʃint͡ʃi jili birint͡ʃi ʔɑjniŋ jɛttint͡ʃi kyni njujorkluq ʔɑdɛmniŋ mehmɑnχɑnisidɑ jyrɛk zɛʔipliʃiʃ kesili bilɛn sɛksɛn ʔɑltɛ jeʃidɑ ʔɑlɛmdin ʔøtkɛn . serbijɛ puʃtidin bolʁɑn ʔɑmerikiliq kɛʃpijɑtt͡ʃi , meχɑnikɑ ʔinʒeneri , ʔelektr ʔinʒeneri .
تېرە زەخمە بولغاندا ياكى تېرىدە يارا بولغاندا ئۇزۇنغىچە ئاسان ئەسلىگە كەلمەسلىك.	terɛ zɛχmɛ bolʁɑndɑ jɑki teridɛ jɑrɑ bolʁɑndɑ ʔuzunʁit͡ʃɛ ʔɑsɑn ʔɛsliɡɛ kɛlmɛslik .
قەشقەردىن باشقا خوتەن، ياركەند، يېڭىسار، ئاقسۇ، كۇچا ۋە كورلا قاتارلىق 6 شەھەر بىلەن قوشۇپ يەتتىشەھەر دەپ ئاتالغان.	qɛʃqɛrdin bɑʃqɑ χotɛn , jɑrkɛnt , jeŋisɑr , ʔɑqsu , kut͡ʃɑ wɛ korlɑ qɑtɑrliq ʔɑltɛ ʃɛhɛr bilɛn qoʃup jɛttiʃɛhɛr dɛp ʔɑtɑlʁɑn .
ئابلىمىت ئابابەكرى-ئابدۇلئەھەد ئابابەكرى ئاكىسى.	ʔɑblimit ʔɑbɑbɛkri ʔɑbdulʔɛhɛt ʔɑbɑbɛkri ʔɑkisi .
بىت تەڭگىسى بارلىققا كەلگەندىن بۇيان، قىسقىغىنە ۋاقىت ئىچىدە، نۇرغۇللىغان شىفىرلىق پۇللار بارلىققا كەلدى. تۈۋەندىكىسى بولدا بىر قىسىم داڭلىق شىفىرلىق پۇللاردۇر.	bit tɛŋɡisi bɑrliqqɑ kɛlɡɛndin bujɑn , qisqiʁinɛ wɑqit ʔit͡ʃidɛ , nurʁulliʁɑn ʃipirliq pullɑr bɑrliqqɑ kɛldi . tywɛndikisi boldɑ bir qisim dɑŋliq ʃipirliq pullɑrdur .
(2) مەزمۇنى قىسقا، چاققان: تىنىش بەلگىلىرىنى ئۆز ئىچىگە ئالغان 140 خەت ئەتراپىدا كونترول قىلىنىدۇ.	ʔikki mɛzmuni qisqɑ , t͡ʃɑqqɑn tiniʃ bɛlɡilirini ʔøz ʔit͡ʃiɡɛ ʔɑlʁɑn jyz qiriq χɛt ʔɛtrɑpidɑ kontrol qilinidu .
ھىڭنى تۇخۇم سېرىقى بىلەن قوشۇپ مۇۋاپىق مىقداردا ئىستېمال قىلىپ بەرسە، يۆتەل ۋە بېقىن ئاغرىقىنى پەسەيتىدۇ.	hiŋni tuχum seriqi bilɛn qoʃup muwɑpiq miqdɑrdɑ ʔistemɑl qilip bɛrsɛ , jøtɛl wɛ beqin ʔɑʁriqini pɛsɛjtidu .
2006-يىلى، ئۇنىڭ «گۇمپا» ناملىق فىلىمى شىياڭگاڭ كىنوچىلىقىغا ئاتالغان 24-نۆۋەتلىك «ئالتۇن پىل مۇكاپاتى»دا، 16 تۈر بويىچە نامى ئاتالغان ھەمدە «يىللىق ئەڭ نادىر كىنو مۇكاپاتى»نى قولغا كەلتۈرگەن. 2004-يىلى، «دەۋر	ʔikki miŋ ʔɑltint͡ʃi jili , ʔuniŋ ɡumpɑ nɑmliq pilimi ʃijɑŋɡɑŋ kinot͡ʃiliqiʁɑ ʔɑtɑlʁɑn jiɡirmɛ tøtint͡ʃi nøwɛtlik ʔɑltun pil mukɑpɑti dɑ , ʔon ʔɑltɛ tyr bojit͡ʃɛ nɑmi ʔɑtɑlʁɑn hɛmdɛ jilliq ʔɛŋ nɑdir kino mukɑpɑti ni qolʁɑ kɛltyrɡɛn . ʔikki miŋ tøtint͡ʃi jili , dɛwr
بىزدە يەنە بىر قۇتۇبمۇ بار. ئۇلار ئۆزلىرىنى «ئىلغار ئىدىيىلىك كىشىلەر» دەپ قارايدۇ. ئۇلارچە بولسا بۇرۇنقى نەرسىلەرنىڭ ھەممىسى يوق قىلىۋېتىلىشى كېرەك. جەمئىيەتتە نېمە ئەڭ تارالغان بولسا، ئىسلاممۇ شۇنى قوبۇل قىلىشى كېرەك.	bizdɛ jɛnɛ bir qutubmu bɑr . ʔulɑr ʔøzlirini ʔilʁɑr ʔidijilik kiʃilɛr dɛp qɑrɑjdu . ʔulɑrt͡ʃɛ bolsɑ burunqi nɛrsilɛrniŋ hɛmmisi joq qiliwetiliʃi kerɛk . d͡ʒɛmʔijɛttɛ nemɛ ʔɛŋ tɑrɑlʁɑn bolsɑ , ʔislɑmmu ʃuni qobul qiliʃi kerɛk .
قىزىتما داۋاملاشسا، ئورگانىزمنىڭ تەڭشەش ئىقتىدارىنى قالايمىقانلاشتۇرۇپ نۇرغۇنلىغان ناچار رېئاكسىيىلەرنى پەيدا قىلىدۇ. مەسىلەن: ئوكسىگېننىڭ سەرپىياتى ئېشىپ كېتىش قاتارلىقلار. بەدەن تېمپېراتۇرىسى تۇيۇقسىز، تېز سۈرئەتتە يۇقىرىلاپ كەتسە چوڭ مېڭە پوستلاق قەۋىتى زىيادە ئويغىنىشتىن كىچىك بالىلاردا تارتىشىشنى كەلتۈرۈپ چىقىرىدۇ.	qizitmɑ dɑwɑmlɑʃsɑ , ʔorɡɑnizmniŋ tɛŋʃɛʃ ʔiqtidɑrini qɑlɑjmiqɑnlɑʃturup nurʁunliʁɑn nɑt͡ʃɑr reʔɑksijilɛrni pɛjdɑ qilidu . mɛsilɛn ʔoksiɡenniŋ sɛrpijɑti ʔeʃip ketiʃ qɑtɑrliqlɑr . bɛdɛn temperɑturisi tujuqsiz , tez syrʔɛttɛ juqirilɑp kɛtsɛ t͡ʃoŋ meŋɛ postlɑq qɛwiti zijɑdɛ ʔojʁiniʃtin kit͡ʃik bɑlilɑrdɑ tɑrtiʃiʃni kɛltyryp t͡ʃiqiridu .
ۋۇ زېتيەن بۇ ۋاقىتتا ئاللىقاچان 81 ياشتا ئىدى. ئۇ قېرى ۋە ئاجىز بولۇپ ، قوزغىلاڭنى بېسىقتۇرالمىغاچقا ، ئۇ پەقەت تەختتىن چۈشۈپ ئوغلى لى شيەنگە تەختتىن چۈشۈپ ، تاڭنىڭ ئىمپېراتورى جۇڭزوڭغا ئايلانغان. ۋۇ جوۋ سۇلالىسى يىقىلىپ ، تاڭ سۇلالىسى ئەسلىگە كەلگەندىن كېيىن ، ئۇ شاڭياڭ ئوردىسىغا كۆچۈپ كېلىپ ، ئىمپېراتورنىڭ بارلىققا كېلىشىگە ئايلانغان. جوڭزوڭ ئۇنىڭغا «زېتيان بۈيۈك ئىمپېراتور» ئۇنۋانىنى بەردى.	wu zetjɛn bu wɑqittɑ ʔɑlliqɑt͡ʃɑn sɛksɛn bir jɑʃtɑ ʔidi . ʔu qeri wɛ ʔɑd͡ʒiz bolup , qozʁilɑŋni besiqturɑlmiʁɑt͡ʃqɑ , ʔu pɛqɛt tɛχttin t͡ʃyʃyp ʔoʁli li ʃjɛnɡɛ tɛχttin t͡ʃyʃyp , tɑŋniŋ ʔimperɑtori d͡ʒuŋzoŋʁɑ ʔɑjlɑnʁɑn . wu d͡ʒow sulɑlisi jiqilip , tɑŋ sulɑlisi ʔɛsliɡɛ kɛlɡɛndin kejin , ʔu ʃɑŋjɑŋ ʔordisiʁɑ køt͡ʃyp kelip , ʔimperɑtorniŋ bɑrliqqɑ keliʃiɡɛ ʔɑjlɑnʁɑn . d͡ʒoŋzoŋ ʔuniŋʁɑ zetjɑn byjyk ʔimperɑtor ʔunwɑnini bɛrdi .
ئىمپېراتور دوۋاگېر چېڭتېن پۇسۇۋان (1163-1177-يىللىرى ھۆكۈمرانلىق قىلغان ) - يېلى يىريوڭنىڭ سىڭلىسى	ʔimperɑtor dowɑɡer t͡ʃeŋten pusuwɑn miŋ jyz ʔɑtmiʃ ʔyt͡ʃ miŋ jyz jɛtmiʃ jɛttint͡ʃi jilliri høkymrɑnliq qilʁɑn jeli jirjoŋniŋ siŋlisi
ھەق تەلەپ تۆلەم جاۋابكارلىقىنى ئۈستىگە ئالغان جىنايەتچىلەرگە بىرلا ۋاقىتتا جەرىمانە قويۇلدى، ئۇلارنىڭ مال-مۈلكى ھەممىنى تۆلەشكە يەتمىسە ياكى مال-مۈلكىنى مۇسادىرە قىلىش دەپ ھۆكۈم قىلىنسا، ئالدى بىلەن زىيانكەشلىككە ئۇچرىغۇچىغا بولغان ھەق تەلەپ تۆلەم جاۋابكارلىقنى ئۈستىگە ئېلىشى كېرەك.	hɛq tɛlɛp tølɛm d͡ʒɑwɑbkɑrliqini ʔystiɡɛ ʔɑlʁɑn d͡ʒinɑjɛtt͡ʃilɛrɡɛ birlɑ wɑqittɑ d͡ʒɛrimɑnɛ qojuldi , ʔulɑrniŋ mɑl mylki hɛmmini tølɛʃkɛ jɛtmisɛ jɑki mɑl mylkini musɑdirɛ qiliʃ dɛp høkym qilinsɑ , ʔɑldi bilɛn zijɑnkɛʃlikkɛ ʔut͡ʃriʁut͡ʃiʁɑ bolʁɑn hɛq tɛlɛp tølɛm d͡ʒɑwɑbkɑrliqni ʔystiɡɛ ʔeliʃi kerɛk .
پاي چېكى ياكى شىركەت، كارخانا زايومىنى ئويدۇرۇپ چىقارغان، ئۆزگەرتىپ ياسىغانلارغا سوممىسى كۆپرەك بولغانلىرىغا ئۈچ يىلدىن تۆۋەن مۇددەتلىك قاماق جازاسى ياكى تۇتۇپ تۇرۇپ ئەمگەككە سېلىش جازاسى بېرىلىدۇ، قوشۇمچە ياكى ئايرىم ھالدا 10 مىڭ يۈەندىن يۇقىرى، 100 مىڭ يۈەندىن تۆۋەن جەرىمانە قويۇلىدۇ؛	pɑj t͡ʃeki jɑki ʃirkɛt , kɑrχɑnɑ zɑjomini ʔojdurup t͡ʃiqɑrʁɑn , ʔøzɡɛrtip jɑsiʁɑnlɑrʁɑ sommisi køprɛk bolʁɑnliriʁɑ ʔyt͡ʃ jildin tøwɛn muddɛtlik qɑmɑq d͡ʒɑzɑsi jɑki tutup turup ʔɛmɡɛkkɛ seliʃ d͡ʒɑzɑsi berilidu , qoʃumt͡ʃɛ jɑki ʔɑjrim hɑldɑ ʔon miŋ jyɛndin juqiri , jyz miŋ jyɛndin tøwɛn d͡ʒɛrimɑnɛ qojulidu ,
3. جەمئىيەت ئامانلىقىغا ئېغىر خەۋپ يەتكۈزگەن جىنايەتچى ئۇنسۇرلارنى قاتتىق جازالاش توغرىسىدىكى قارار	ʔyt͡ʃ . d͡ʒɛmʔijɛt ʔɑmɑnliqiʁɑ ʔeʁir χɛwp jɛtkyzɡɛn d͡ʒinɑjɛtt͡ʃi ʔunsurlɑrni qɑttiq d͡ʒɑzɑlɑʃ toʁrisidiki qɑrɑr
(ئابدۇرەئۇپ پولات تەكلىماكانىي: «ئۇيغۇر تىلى لېكسىكولوگىيەسى ۋە لېكسىكا تەتقىقاتى»، مىللەتلەر نەشرىياتى، 2011 - يىل 4 - ئاي 1 - نەشرى، 188 _ 191 - بەتلەر)	ʔɑbdurɛʔup polɑt tɛklimɑkɑnij ʔujʁur tili leksikoloɡijɛsi wɛ leksikɑ tɛtqiqɑti , millɛtlɛr nɛʃrijɑti , ʔikki miŋ ʔon birint͡ʃi jil tøtint͡ʃi ʔɑj birint͡ʃi nɛʃri , jyz sɛksɛn sɛkkiz jyz toqsɑn birint͡ʃi bɛtlɛr
_ ئاۋۋال مەن بىلەن بىر كۆرۈشسۇن، _ دېدى ھاجىپ كۈسەمىشتىن ئايتولدىنىڭ ئەھۋالىنى ئۇققاندىن كېيىن، _ مەن ئۇنى كۆرەي، ئاندىن بۇ ئىشنى ئىلىگكە مەلۇم قىلىپ، ئۇنىڭ قاچان قوبۇل قىلالايدىغانلىقىنى سوراي.	ʔɑwwɑl mɛn bilɛn bir køryʃsun , dedi hɑd͡ʒip kysɛmiʃtin ʔɑjtoldiniŋ ʔɛhwɑlini ʔuqqɑndin kejin , mɛn ʔuni kørɛj , ʔɑndin bu ʔiʃni ʔiliɡkɛ mɛlum qilip , ʔuniŋ qɑt͡ʃɑn qobul qilɑlɑjdiʁɑnliqini sorɑj .
مانا شۇ ۋەقەلەر بولۇپ ئۆتكەنگە يېرىم يىلچە بولۇپ قالدى، ئوغلۇم كالپۇكىنىڭ ئۈستىگە ئۆتكەنكىسىدىنمۇ يوغانراق بىر ياقىلىقنى بېكىتىۋالدى، لېكىن مەن بۇرۇت قويۇشقا ھازىرغىچە پېتىنالماي يۈرىمەن. يەنە بىرەر كېلىشمەسلىك يۈز بېرىپ، بازار باشلىقنىڭ «سېزىمى ئېشىپ كېتىش كېسىلى» ئەدەپ قالسا، ئۇنى جا بۇرۇتىنى شاققىدە ئېلىپ يانچۇقىغا سېلىۋېلىپ، خىيالىغا كەلگەننى قىلمايدۇ، دەپ كىم ھۆددە قىلالايدۇ؟…	mɑnɑ ʃu wɛqɛlɛr bolup ʔøtkɛnɡɛ jerim jilt͡ʃɛ bolup qɑldi , ʔoʁlum kɑlpukiniŋ ʔystiɡɛ ʔøtkɛnkisidinmu joʁɑnrɑq bir jɑqiliqni bekitiwɑldi , lekin mɛn burut qojuʃqɑ hɑzirʁit͡ʃɛ petinɑlmɑj jyrimɛn . jɛnɛ birɛr keliʃmɛslik jyz berip , bɑzɑr bɑʃliqniŋ sezimi ʔeʃip ketiʃ kesili ʔɛdɛp qɑlsɑ , ʔuni d͡ʒɑ burutini ʃɑqqidɛ ʔelip jɑnt͡ʃuqiʁɑ seliwelip , χijɑliʁɑ kɛlɡɛnni qilmɑjdu , dɛp kim høddɛ qilɑlɑjdu ,
سەن چايناپ بەرگەن ناننى يەۋېرىپ زېرىكتىم ، ئاپا ، ئۆزۈمنىڭ چايناپ يېيىشىگە يول قوي .	sɛn t͡ʃɑjnɑp bɛrɡɛn nɑnni jɛwerip zeriktim , ʔɑpɑ , ʔøzymniŋ t͡ʃɑjnɑp jejiʃiɡɛ jol qoj .
