He kūlanakauhale ʻo Hilo (nūatīawa ʻōlelo pelekane) — ma ka mokupuni ʻo Hawaiʻi.	he kuːlanakauhale ʔo hilo nuːakiːawa ʔoːlelo pelekane ma ka mokupuni ʔo hawaiʔi .
Ma ke ʻano he Luna Hoʻokele Nui o Apple, ua alakaʻi ʻo Jobs i ka hoʻomaka ʻana o ka iMac, iPod, iPhone, a me ka iPad. Ua hoʻokō ʻo ia i kona manaʻo no ka maʻalahi a me ka nani ma o kēia mau huahana. Ua lilo kēia mau mea i mea hoʻololi i ko kākou hoʻohana ʻana i ka ʻenehana.	ma ke ʔano he luna hoʔokele nui o apple , ua alakaʔi ʔo kopk i ka hoʔomaka ʔana o ka imak , ipok , iphone , a me ka ipak . ua hoʔokoː ʔo ia i kona manaʔo no ka maʔalahi a me ka nani ma o keːia mau huahana . ua lilo keːia mau mea i mea hoʔololi i ko kaːkou hoʔohana ʔana i ka ʔenehana .
Kei - He lālā o ka hui kūʻē aupuni e kōkua iā Kaneda	kei he laːlaː o ka hui kuːʔeː aupuni e koːkua iaː kaneka
Screen Actors Guild Award no ka Hui Hana Keaka Kiʻekiʻe ma ka Papa Kiʻiʻoniʻoni (2017)	kkleen akkolk kuilk awalk no ka hui hana keaka kiʔekiʔe ma ka papa kiʔiʔoniʔoni ʔelua kaukani ʔumikuːmaːhiku
Ua hoʻololi ka hōʻike i ke ʻano o ka nānā ʻana o nā kānaka i nā kiʻi hōʻike keiki. Hoʻohana nui ʻia ka hōʻike e nā kumu kula no ke aʻo ʻana i nā haʻawina like ʻole, e like me ke aloha ʻohana, ka hoʻomanawanui, a me ka hana pū ʻana.	ua hoʔololi ka hoːʔike i ke ʔano o ka naːnaː ʔana o naː kaːnaka i naː kiʔi hoːʔike keiki . hoʔohana nui ʔia ka hoːʔike e naː kumu kula no ke aʔo ʔana i naː haʔawina like ʔole , e like me ke aloha ʔohana , ka hoʔomanawanui , a me ka hana puː ʔana .
Final Fantasy V (1992) - Luna Hoʻonohonoho	pinal pankaki w hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːlua luna hoʔonohonoho
Akira Toriyama (5 ʻApelila 1955 - 1 Malaki 2024) he mea kaha kiʻi manga a he mea hoʻolālā kiʻi Kepanī. ʻO ia ka mea kākau o nā puke manga kaulana loa Dragon Ball a me Dr. Slump. Ua kōkua pū ʻo ia i ka hoʻolālā kiʻi no nā pāʻani wikiō Dragon Quest, Chrono Trigger, a me Blue Dragon. Ua make ʻo ia ma kona home ma Minami-Awaji, Hyōgo, Iāpana.	akila koliiama ʔelima ʔapelila hoʔokahi kaukani ʔeiwa haneli kanalimakuːmaːlima , ʔekahi malaki ʔelua kaukani iwakaːluakuːmaːhaː he mea kaha kiʔi manka a he mea hoʔolaːlaː kiʔi kepaniː . ʔo ia ka mea kaːkau o naː puke manka kaulana loa klakon pall a me kl . klump . ua koːkua puː ʔo ia i ka hoʔolaːlaː kiʔi no naː paːʔani wikioː klakon kuekk , khlono klikkel , a me plue klakon . ua make ʔo ia ma kona home ma minamiawaki , hioːko , iaːpana .
Goblin Village - Kahi e noho ai nā menehune	koplin willake kahi e noho ai naː menehune
I ka wā o ka SNES, ua hakakā nui ʻo Nintendo me Sega a me kā lākou Sega Genesis ma ʻAmelika Hui Pū ʻIa. Ma ka hoʻomaka ʻana, ua lanakila ʻo Sega ma muli o ka hoʻokuʻu mua ʻana a me kā lākou hoʻolaha maikaʻi ʻana. Akā, ma hope mai, ua lanakila ka SNES ma muli o kāna mau pāʻani kiʻekiʻe a me ka maikaʻi o ka ʻenehana.	i ka waː o ka knek , ua hakakaː nui ʔo ninkenko me keka a me kaː laːkou keka kenekik ma ʔamelika hui puː ʔia . ma ka hoʔomaka ʔana , ua lanakila ʔo keka ma muli o ka hoʔokuʔu mua ʔana a me kaː laːkou hoʔolaha maikaʔi ʔana . akaː , ma hope mai , ua lanakila ka knek ma muli o kaːna mau paːʔani kiʔekiʔe a me ka maikaʔi o ka ʔenehana .
Ua hoʻokuʻu mua ʻia ma ka lā 21 Nowemapa 1994 ma ʻAmelika ʻĀkau, a ma hope mai ma Iāpana (lā 16 Kekemapa 1994) a me ʻEulopa (lā 24 Nowemapa 1994).	ua hoʔokuʔu mua ʔia ma ka laː iwakaːluakuːmaːkahi nowemapa hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhaː ma ʔamelika ʔaːkau , a ma hope mai ma iaːpana laː ʔumikuːmaːono kekemapa hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhaː a me ʔeulopa laː iwakaːluakuːmaːhaː nowemapa hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhaː .
Ua hānau ʻia ʻo Miyamoto ma Sonobe, Kyoto, Iāpana, he keiki na Iijake Miyamoto lāua ʻo Momoko. I kona wā kamaliʻi, ua noho ʻo ia ma kahi home kuʻuna Kepanī me kona ʻohana. Ua makemake nui ʻo ia i ka huakaʻi ʻana i nā ana kokoke i kona home, ka mea i hoʻoulu i kona makemake i ka ʻimi ʻana a me ka noʻonoʻo ʻana. Ua hoihoi pū ʻo ia i ka kiʻi, ka pāʻani puppet, ka hoʻokani kīkā, a me ka hana manga.	ua haːnau ʔia ʔo miiamoko ma konope , kioko , iaːpana , he keiki na iikake miiamoko laːua ʔo momoko . i kona waː kamaliʔi , ua noho ʔo ia ma kahi home kuʔuna kepaniː me kona ʔohana . ua makemake nui ʔo ia i ka huakaʔi ʔana i naː ana kokoke i kona home , ka mea i hoʔoulu i kona makemake i ka ʔimi ʔana a me ka noʔonoʔo ʔana . ua hoihoi puː ʔo ia i ka kiʔi , ka paːʔani puppek , ka hoʔokani kiːkaː , a me ka hana manka .
Justice League Dark: Apokolips War - Leo ʻia e John DiMaggio	kukkike leakue kalk , apokolipk wal leo ʔia e kohn kimakkio
Nā hoʻopiʻi mai ka Federal Trade Commission	naː hoʔopiʔi mai ka pekelal klake kommikkion
Nā mokupuni nui (e like me ʻAukekulelia)	naː mokupuni nui e like me ʔaukekulelia
macOS: Ka ʻōnaehana hoʻohana no nā kamepiula Mac	makok , ka ʔoːnaehana hoʔohana no naː kamepiula mak
Castlevania series - He moʻolelo no ka hakakā ʻana me nā dracula	kakklewania keliek he moʔolelo no ka hakakaː ʔana me naː klakula
Worlds of Power: Simon's Quest (1990, puke keiki)	wollkk op powel , kimonʔk kuekk hoʔokahi kaukani ʔeiwa haneli kanaiwa , puke keiki
Huakaʻi Malu Onipaʻa he hanana makahiki a me ka huakaʻi mai Mauna ʻAla a i ka Hale Aliʻi ʻIolani e hoʻomanaʻo ai i ka hoʻokahuli ʻia ʻana o ka Mōʻī Liliʻuokalani a me ke Aupuni Mōʻī o Hawaiʻi i ka makahiki 1893.	huakaʔi malu onipaʔa he hanana makahiki a me ka huakaʔi mai mauna ʔala a i ka hale aliʔi ʔiolani e hoʔomanaʔo ai i ka hoʔokahuli ʔia ʔana o ka moːʔiː liliʔuokalani a me ke aupuni moːʔiː o hawaiʔi i ka makahiki hoʔokahi kaukani ʔewalu haneli kanaiwakuːmaːkolu .
Ua ʻike ʻia he hana maikaʻi loa a Rumiko Takahashi	ua ʔike ʔia he hana maikaʔi loa a lumiko kakahakhi
Ma Mutiny, hoʻomaka ʻo Cameron lāua ʻo Donna i ka hana ʻana i kahi kahua kamaʻilio pūnaewele. Akā, kūʻē ka makua kāne o Sara iā Mutiny a hoʻokumu i kahi ʻōnaehana like, ʻo WestNet. Hoʻohana ʻo Cameron i kekahi polokalamu maikaʻi ʻole e hoʻopilikia i ko Westgroup pūnaewele. Ua haʻalele ʻo Joe iā Sara a neʻe ʻo Mutiny i Kaleponi.	ma mukini , hoʔomaka ʔo kamelon laːua ʔo konna i ka hana ʔana i kahi kahua kamaʔilio puːnaewele . akaː , kuːʔeː ka makua kaːne o kala iaː mukini a hoʔokumu i kahi ʔoːnaehana like , ʔo wekknek . hoʔohana ʔo kamelon i kekahi polokalamu maikaʔi ʔole e hoʔopilikia i ko wekkkloup puːnaewele . ua haʔalele ʔo koe iaː kala a neʔe ʔo mukini i kaleponi .
Ka mālama ʻana i ke pilikino ma o ka "Private Browsing"	ka maːlama ʔana i ke pilikino ma o ka pliwake plowkink
Ua kōkua ʻo ia me Nicola Pellow i ka hoʻomohala ʻana i ka browser pūnaewele mua no ka Classic Mac OS i kapa ʻia ʻo MacWWW.	ua koːkua ʔo ia me nikola pellow i ka hoʔomohala ʔana i ka plowkel puːnaewele mua no ka klakkik mak ok i kapa ʔia ʔo makwww .
Ua male ʻo Apatow me ka mea hana kiʻi ʻoniʻoni Leslie Mann ma ka lā 9 Iune 1997. He ʻelua a lāua keiki, ʻo Maude Apatow a me Iris Apatow. Ua hana ka ʻohana holoʻokoʻa i loko o kekahi o kāna mau kiʻi ʻoniʻoni, e like me Knocked Up, Funny People, a me This Is 40.	ua male ʔo apakow me ka mea hana kiʔi ʔoniʔoni leklie mann ma ka laː ʔeiwa iune hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhiku . he ʔelua a laːua keiki , ʔo mauke apakow a me ilik apakow . ua hana ka ʔohana holoʔokoʔa i loko o kekahi o kaːna mau kiʔi ʔoniʔoni , e like me knokkek up , punni people , a me khik ik kanahaː .
Ka makuahine o Bill. Hana ʻo ia ma ke ʻano he mea lawelawe. Ua hana mua ʻo ia he mea hula. Hoʻāhewa iā ia iho no nā pilikia olakino o Bill, no ka ʻinu ʻawa a me ka hoʻohana lāʻau ʻonoʻono i ka wā hāpai.	ka makuahine o pill . hana ʔo ia ma ke ʔano he mea lawelawe . ua hana mua ʔo ia he mea hula . hoʔaːhewa iaː ia iho no naː pilikia olakino o pill , no ka ʔinu ʔawa a me ka hoʔohana laːʔau ʔonoʔono i ka waː haːpai .
Ua hoʻokumu i ka Palapala Kānāwai o nā Pono Kīwila	ua hoʔokumu i ka palapala kaːnaːwai o naː pono kiːwila
Ua lanakila ʻo McKenzie i ka makana National Board of Review Award no ka Hōkū Puka Hou (2018)	ua lanakila ʔo mkkenkie i ka makana nakional poalk op lewiew awalk no ka hoːkuː puka hou ʔelua kaukani ʔumikuːmaːwalu
Ka mōhai ʻana i ka mōʻī pōpeku Shohei Ohtani (2024)	ka moːhai ʔana i ka moːʔiː poːpeku khohei ohkani ʔelua kaukani iwakaːluakuːmaːhaː
Ma ka makemakika, aia ʻehā hana maʻamau: ka huinahelu (+), ka lawenahelu (−), ka hoʻonui (×), a me ka māhele (÷). He helu pālua ka 4, a he helu piha, a he helu Harshad. ʻO ia kekahi o nā helu Harshad a pau ʻehā.	ma ka makemakika , aia ʔehaː hana maʔamau , ka huinahelu , ka lawenahelu , ka hoʔonui , a me ka maːhele . he helu paːlua ka ʔehaː , a he helu piha , a he helu halkhak . ʔo ia kekahi o naː helu halkhak a pau ʔehaː .
Yuno Grinberryall: He keiki hānai a me ke keikikāne aliʻi o ka Spade Kingdom. Ua loaʻa iā ia ka puke kilo "Four-leaf Clover" a me ka mana makani. He lālā o ka Golden Dawn a hoʻokūkū me Asta e lilo i Aliʻi Kilo. Ua hui pū me ka ʻuhane makani ʻo Sylph (Bell). I ka wā hope, ua loaʻa iā ia ka lua o ka puke kilo me ka mana hōkū.	iuno klinpelliall , he keiki haːnai a me ke keikikaːne aliʔi o ka kpake kinkkom . ua loaʔa iaː ia ka puke kilo poulleap klowel a me ka mana makani . he laːlaː o ka kolken kawn a hoʔokuːkuː me akka e lilo i aliʔi kilo . ua hui puː me ka ʔuhane makani ʔo kilph pell . i ka waː hope , ua loaʔa iaː ia ka lua o ka puke kilo me ka mana hoːkuː .
Ma John Overton High School i Nashville, ua hōʻike ʻo Betts i kona mākaukau ma nā pāʻani like ʻole. Ma ka pōpō hulihuli, ua loaʻa iā ia ka batting average .548. Ma ka pōpō pōpeku, ua koho ʻia ʻo ia i MVP o ka District 12-AAA. Ua kaulana pū ʻo ia ma ke kinipōpō, a ua kapa ʻia ʻo ia ʻo "Tennessee Boys Bowler of the Year" ma 2010.	ma kohn owelkon hikh kkhool i nakhwille , ua hoːʔike ʔo pekkk i kona maːkaukau ma naː paːʔani like ʔole . ma ka poːpoː hulihuli , ua loaʔa iaː ia ka pakkink awelake . ʔelima haneli kanahaːkuːmaːwalu . ma ka poːpoː poːpeku , ua koho ʔia ʔo ia i mwp o ka kikklikk ʔumikuːmaːlua aaa . ua kaulana puː ʔo ia ma ke kinipoːpoː , a ua kapa ʔia ʔo ia ʔo kennekkee poik powlel op khe ieal ma ʔelua kaukani ʔumi .
He pā keleawe kula 12 ʻīniha (30 kenimika) ka laulā	he paː keleawe kula ʔumikuːmaːlua ʔiːniha kanakolu kenimika ka laulaː
I hānau ʻia ʻo ia ma Kakalameko, Kaleponi, he keiki na ka mea hana kiʻiʻoniʻoni Tom Hanks a me ka mea hana kiʻiʻoniʻoni Samantha Lewes (i hānau ʻia ʻo Susan Jane Dillingham). He kaikuaʻana kāna, ʻo Elizabeth, a ma o ko kona makuakāne mare ʻana iā Rita Wilson, he ʻelua kona kaikaina hanauna, ʻo Chet Hanks a me Truman Hanks.	i haːnau ʔia ʔo ia ma kakalameko , kaleponi , he keiki na ka mea hana kiʔiʔoniʔoni kom hankk a me ka mea hana kiʔiʔoniʔoni kamankha lewek i haːnau ʔia ʔo kukan kane killinkham . he kaikuaʔana kaːna , ʔo elikapekh , a ma o ko kona makuakaːne male ʔana iaː lika wilkon , he ʔelua kona kaikaina hanauna , ʔo khek hankk a me kluman hankk .
Tommy Holmes he kanaka hoe waʻa kaulana a he mea hoʻokele moana Hawaiʻi i make i ka lā 23 ʻAukake 1993. Ua kaulana ʻo ia no kona lanakila ʻana i ka Molokai Hoe i ka makahiki 1967, kāna puke The Hawaiian Canoe, a me kona kōkua nui ʻana i ka hoʻōla hou ʻana i ke kālai waʻa Hawaiʻi.	kommi holmek he kanaka hoe waʔa kaulana a he mea hoʔokele moana hawaiʔi i make i ka laː iwakaːluakuːmaːkolu ʔaukake hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːkolu . ua kaulana ʔo ia no kona lanakila ʔana i ka molokai hoe i ka makahiki hoʔokahi kaukani ʔeiwa haneli kanaonokuːmaːhiku , kaːna puke khe hawaiian kanoe , a me kona koːkua nui ʔana i ka hoʔoːla hou ʔana i ke kaːlai waʔa hawaiʔi .
Hōkū ma ka Hollywood Walk of Fame (2004)	hoːkuː ma ka holliwook walk op pame ʔelua kaukani ʔehaː
Paena kūhelu Studio Ghibli: Mimi o Sumaseba	paena kuːhelu kkukio khipli , mimi o kumakepa
I ka makahiki 1988, ua hoʻopau ʻo Miyazaki i ka papa moʻolelo mua a hōʻike i ia i mea Iulai 1988. I ia manawa, ua hōʻike ʻo ia ua hoʻoholo ʻo ia e hoʻokele i ke kiʻi ʻoniʻoni. Ua hoʻomanaʻo mua ʻia e lilo i kiʻi ʻoniʻoni 60-minuke, akā lilo ia i kiʻi ʻoniʻoni 102-minuke.	i ka makahiki hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːwalu , ua hoʔopau ʔo miiakaki i ka papa moʔolelo mua a hoːʔike i ia i mea iulai hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːwalu . i ia manawa , ua hoːʔike ʔo ia ua hoʔoholo ʔo ia e hoʔokele i ke kiʔi ʔoniʔoni . ua hoʔomanaʔo mua ʔia e lilo i kiʔi ʔoniʔoni kanaono minuke , akaː lilo ia i kiʔi ʔoniʔoni hoʔokahi haneli ʔelua minuke .
Ma Red a me 1989, ua hana ʻia nā leo o Swift ma ka lolo uila e kākoʻo i ka hana pop. ʻO kona leo ma Reputation a me Midnights hoʻokomo i nā hoʻoikaika hip-hop a me R&B e hōʻea i kekahi hoʻopuka kokoke-rap e hoʻoikaika ana i ka rhythm a me cadence ma mua o melody. Hoʻohana pinepine ʻo ia i kona kākau leo lalo ma "Cardigan" a me nā leo kākau haʻahaʻa a me kiʻekiʻe ma Evermore.	ma lek a me hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːiwa , ua hana ʔia naː leo o kwipk ma ka lolo uila e kaːkoʔo i ka hana pop . ʔo kona leo ma lepukakion a me miknikhkk hoʔokomo i naː hoʔoikaika hiphop a me l a me p e hoːʔea i kekahi hoʔopuka kokokelap e hoʔoikaika ana i ka lhikhm a me kakenke ma mua o meloki . hoʔohana pinepine ʔo ia i kona kaːkau leo lalo ma kalkikan a me naː leo kaːkau haʔahaʔa a me kiʔekiʔe ma ewelmole .
Ua hele ʻo ia i ka Harbor High School a ma hope aku i ka American Academy of Dramatic Arts ma Los Angeles. Ua hoʻomaka kona ʻoihana hana keaka ma ka makahiki 1994, me nā ʻāpana liʻiliʻi ma nā kīwī like ʻole.	ua hele ʔo ia i ka halpol hikh kkhool a ma hope aku i ka amelikan akakemi op klamakik alkk ma lok ankelek . ua hoʔomaka kona ʔoihana hana keaka ma ka makahiki hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhaː , me naː ʔaːpana liʔiliʔi ma naː kiːwiː like ʔole .
Hoʻomaikaʻi i ka pilina ma waena o kānaka a me ke kaiapuni.	hoʔomaikaʔi i ka pilina ma waena o kaːnaka a me ke kaiapuni .
ʻO ʻŌkuka (Orcus; nā hōʻailona: ) he hōkū hele iki peke nui ma ke kahua o nā hōkū.	ʔo ʔoːkuka olkuk , naː hoːʔailona , he hoːkuː hele iki peke nui ma ke kahua o naː hoːkuː .
Ma 20 Mei 2013, ua hōʻike ʻia ua loaʻa i Yahoo a me Tumblr kekahi ʻaelike no Yahoo! Inc. e kūʻai iā Tumblr no $1.1 biliona kālā. He nui nā mea hoʻohana Tumblr i ʻoluʻolu ʻole i ka nūhou, e alakaʻi ana i kekahi e hoʻomaka i kekahi palapala noi, e hana ana i kokoke i 170,000 nā pūlima. Ua mau ʻo David Karp ma ke ʻano ʻo ke CEO a ua hoʻokō ʻia ka hana kūʻai ma 20 Iune 2013.	ma iwakaːlua mei ʔelua kaukani ʔumikuːmaːkolu , ua hoːʔike ʔia ua loaʔa i iahoo a me kumpll kekahi ʔaelike no iahoo ! ink . e kuːʔai iaː kumpll no ʔekahi ʔekahi piliona kaːlaː . he nui naː mea hoʔohana kumpll i ʔoluʔolu ʔole i ka nuːhou , e alakaʔi ana i kekahi e hoʔomaka i kekahi palapala noi , e hana ana i kokoke i hoʔokahi haneli kanahiku kaukani naː puːlima . ua mau ʔo kawik kalp ma ke ʔano ʔo ke keo a ua hoʔokoː ʔia ka hana kuːʔai ma iwakaːlua iune ʔelua kaukani ʔumikuːmaːkolu .
Ua hānau ʻia ʻo Arment ma Columbus, Ohio. Ua komo ʻo ia i ke Kulanui ʻo Allegheny ma Meadville, Penekelewinia a ua puka me kāna Bachelor of Science ma ka ʻepekema kamepiula ma 2004.	ua haːnau ʔia ʔo almenk ma kolumpuk , ohio . ua komo ʔo ia i ke kulanui ʔo allekheni ma meakwille , penekelewinia a ua puka me kaːna pakhelol op kkienke ma ka ʔepekema kamepiula ma ʔelua kaukani ʔehaː .
Tower of Terror: He holoholo haʻahaʻa me ka moʻolelo kupaianaha o kahi mea ʻimi waiwai maikaʻi ʻole a me kāna hōʻiliʻili mea kahiko.	kowel op kellol , he holoholo haʔahaʔa me ka moʔolelo kupaianaha o kahi mea ʔimi waiwai maikaʔi ʔole a me kaːna hoːʔiliʔili mea kahiko .
ʻO Diego Rivera (hānau ma: 8 ʻKekemapa 8, 1886 – 24 ʻNowemapa, 1957) he mea kekahi mai Mekiko.	ʔo kieko liwela haːnau ma , ʔewalu ʔkekemapa ʔewalu , hoʔokahi kaukani ʔewalu haneli kanawalukuːmaːono , iwakaːluakuːmaːhaː ʔnowemapa , hoʔokahi kaukani ʔeiwa haneli kanalimakuːmaːhiku he mea kekahi mai mekiko .
Twice Showcase Live Tour 2018 "Candy Pop" (2018)	kwike khowkake liwe koul ʔelua kaukani ʔumikuːmaːwalu kanki pop ʔelua kaukani ʔumikuːmaːwalu
Wokele 2000, meahaia 435,036 km. Akā ka helu mea uamaiʻakomi, 25°, 25, 40 ua helu mea uamaiʻakomi hope iho ua hōʻea maila kekahi.	wokele ʔelua kaukani , meahaia ʔehaː haneli kanakolukuːmaːlima kaukani kanakolukuːmaːono kilomika . akaː ka helu mea uamaiʔakomi , iwakaːluakuːmaːlima keːkeleː , iwakaːluakuːmaːlima , kanahaː ua helu mea uamaiʔakomi hope iho ua hoːʔea maila kekahi .
He moku kuaʻau ʻo Mokupāpapa (a i ʻole Kure) o nā moku noweke o Hawaiʻi. Aia ʻo ia ma 28°25′ʻĀ, 178°20′K (ʻiwakāluakūmāwalu kēkelē ʻiwakāluakūmālima minuke hūbaōunaʻmō ʻākau lakikū cuīamīahi a me hoʻokahi haneli kanahikukūmāwalu kēkelē ʻiwakālua minuke komohana lonikū). Aia ka laina helu lā ma he mau mile 100 i ke komohana.	he moku kuaʔau ʔo mokupaːpapa a i ʔole kule o naː moku noweke o hawaiʔi . aia ʔo ia ma iwakaːluakuːmaːwalu keːkeleː iwakaːluakuːmaːlima minuke ʔaːkau , hoʔokahi haneli kanahikukuːmaːwalu keːkeleː iwakaːlua minuke komohana ʔiwakaːluakuːmaːwalu keːkeleː ʔiwakaːluakuːmaːlima minuke huːpaoːunaʔmoː ʔaːkau lakikuː kuiːamiːahi a me hoʔokahi haneli kanahikukuːmaːwalu keːkeleː ʔiwakaːlua minuke komohana lonikuː . aia ka laina helu laː ma he mau mile hoʔokahi haneli i ke komohana .
He moku kuaʻau ʻo Pihemanu i nā moku o ke komohana ʻākau o Hawaiʻi ma 28°12′ʻĀ 177°21′K (ʻiwakāluakūmāwalu kēkelē ʻumikūmālua minuke ʻākau latitū a me hoʻokahi haneli kanahikukūmāhiku kēkelē ʻiwakāluakūmākahi minuke komohana lonitū).	he moku kuaʔau ʔo pihemanu i naː moku o ke komohana ʔaːkau o hawaiʔi ma iwakaːluakuːmaːwalu keːkeleː ʔumikuːmaːlua minuke ʔaːkau hoʔokahi haneli kanahikukuːmaːhiku keːkeleː iwakaːluakuːmaːkahi minuke komohana ʔiwakaːluakuːmaːwalu keːkeleː ʔumikuːmaːlua minuke ʔaːkau lakikuː a me hoʔokahi haneli kanahikukuːmaːhiku keːkeleː ʔiwakaːluakuːmaːkahi minuke komohana lonikuː .
He moku kuaʻau ʻo Holoikauaua (, , ) — ua mea i Nā Moku o ke Komohana ʻĀkau o Hawaiʻi ma 27°48′ʻĀ 175°51′K (ʻiwakāluakūmāhiku kēkelē kanahākūmāwalu minuke ʻākau latitū a me hoʻokahi haneli kanahikukūmālima kēkelē, kanalimakūmākahi minuke komohana lonitū).	he moku kuaʔau ʔo holoikauaua , ua mea i naː moku o ke komohana ʔaːkau o hawaiʔi ma iwakaːluakuːmaːhiku keːkeleː kanahaːkuːmaːwalu minuke ʔaːkau hoʔokahi haneli kanahikukuːmaːlima keːkeleː kanalimakuːmaːkahi minuke komohana ʔiwakaːluakuːmaːhiku keːkeleː kanahaːkuːmaːwalu minuke ʔaːkau lakikuː a me hoʔokahi haneli kanahikukuːmaːlima keːkeleː , kanalimakuːmaːkahi minuke komohana lonikuː .
He moku kuaʻau ʻo Kauō i Nā Moku o ke Komohana ʻĀkau o Hawaiʻi ma 25°46′ʻĀ 171°44′K (ʻiwakāluakūmālima kēkelē kanahākūmāono minuke ʻākau latitū a me hoʻokahi haneli kanahikukūmākahi kēkelē kanahākūmāhā minuke komohana lonitū).	he moku kuaʔau ʔo kauoː i naː moku o ke komohana ʔaːkau o hawaiʔi ma iwakaːluakuːmaːlima keːkeleː kanahaːkuːmaːono minuke ʔaːkau hoʔokahi haneli kanahikukuːmaːkahi keːkeleː kanahaːkuːmaːhaː minuke komohana ʔiwakaːluakuːmaːlima keːkeleː kanahaːkuːmaːono minuke ʔaːkau lakikuː a me hoʔokahi haneli kanahikukuːmaːkahi keːkeleː kanahaːkuːmaːhaː minuke komohana lonikuː .
Ma ka ʻaoʻao Hesegowina he ʻāina pohaku/mauna, ma ka ʻaoʻoa Bosenia wela loa ma ke kauwela a ma ka hoʻoilo ʻanuʻanu loa.ʻ O ka aniau wela he 80-87℉.	ma ka ʔaoʔao hekekowina he ʔaːina pohaku mauna , ma ka ʔaoʔoa pokenia wela loa ma ke kauwela a ma ka hoʔoilo ʔanuʔanu loa . ʔ o ka aniau wela he kanawalu , kanawalukuːmaːhiku keːkeleː p .
Aia ka ʻAwelika ma luna o 25 °C (77 °F), akā ʻaʻole ke hiki mai nei i ke kauwela i ka wēlau a i 40 °C (104 °F). Ma ka nui o Palakila he aniau kopikala ia.	aia ka ʔawelika ma luna o iwakaːluakuːmaːlima keːkeleː k kanahikukuːmaːhiku keːkeleː p , akaː ʔaʔole ke hiki mai nei i ke kauwela i ka weːlau a i kanahaː keːkeleː k hoʔokahi haneli ʔehaː keːkeleː p . ma ka nui o palakila he aniau kopikala ia .
Honolulu — ua mea kapikala a me ke kūlanakauhale nui loa o Hawaiʻi. Aia ʻo ia ma ka hikina hema o Oʻahu. 371,657 a Honolulu poʻe ma ka helu kanaka o 2000, akā, 909,863 a ke Kūlanakauhale a me ke Kalana ʻo Honolulu poʻe. Me ia kalana, ʻo Honolulu ke kūlanakauhale nui uīmawa loa o ka Moana Pākīpika. ʻO Haʻaheo Nō ʻO Honolulu kā Honolulu mākia.	honolulu ua mea kapikala a me ke kuːlanakauhale nui loa o hawaiʔi . aia ʔo ia ma ka hikina hema o oʔahu . ʔekolu haneli kanahikukuːmaːkahi kaukani ʔeono haneli kanalimakuːmaːhiku a honolulu poʔe ma ka helu kanaka o ʔelua kaukani , akaː , ʔeiwa haneli ʔeiwa kaukani ʔewalu haneli kanaonokuːmaːkolu a ke kuːlanakauhale a me ke kalana ʔo honolulu poʔe . me ia kalana , ʔo honolulu ke kuːlanakauhale nui uiːmawa loa o ka moana paːkiːpika . ʔo haʔaheo noː ʔo honolulu kaː honolulu maːkia .
ʻAʻole i ʻike ʻia ka manawa o ke kau ʻana mua loa o Honolulu. Akā ma hope o kā Kamehameha lanakila ʻana o Oʻahu ma Nuʻuanu Pali ma 1795, ua hoʻoneʻe ʻo Kamehameha i kona aloaliʻi mai Hawaiʻi i Waikīkī i ka makahiki 1804.	ʔaʔole i ʔike ʔia ka manawa o ke kau ʔana mua loa o honolulu . akaː ma hope o kaː kamehameha lanakila ʔana o oʔahu ma nuʔuanu pali ma hoʔokahi kaukani ʔehiku haneli kanaiwakuːmaːlima , ua hoʔoneʔe ʔo kamehameha i kona aloaliʔi mai hawaiʔi i waikiːkiː i ka makahiki hoʔokahi kaukani ʔewalu haneli ʔehaː .
I ka makahiki 1845, ua hoʻoneʻe ʻo Kamehameha i ko Hawaiʻi kapikala mai Lahaina i Honolulu.	i ka makahiki hoʔokahi kaukani ʔewalu haneli kanahaːkuːmaːlima , ua hoʔoneʔe ʔo kamehameha i ko hawaiʔi kapikala mai lahaina i honolulu .
ʻO Honolulu ke one hānau o Barack Obama, ko ʻAmelika Hui Pū ʻia pelekikena ma waena o nā makahiki 2009-2017.	ʔo honolulu ke one haːnau o palakk opama , ko ʔamelika hui puː ʔia pelekikena ma waena o naː makahiki ʔelua kaukani ʔeiwa , ʔelua kaukani ʔumikuːmaːhiku .
