# Khmer exceptions lexicon — word → canonical IPA for the RULE-UNPREDICTABLE residual (inherent-vowel length,
# internal-doubling, Pali/Sanskrit loanword vowels). Consumed dict-first by the shipped phonemizeWord ONLY;
# phonemizeWordRules (the referee-eval signal) never reads it, so the eval stays non-circular.
# Source: wikipron khm_khmr broad (human, from Wiktionary — CC-BY-SA 3.0), modal transcription per word,
# canonicalised (breve→plain, short-low a→ɑ, optional medial ʔ dropped). Generated by tools/gen/build-km-lexicon.mts.
កក្កដា	kɑkɑɗaː
យុទ្ធនីតិ	juttʰeəniːteʔ
យុទ្ធសាស្ត្រ	juttʰeəsaːh
យុវជន	juʋeəcuən
យុវតី	juʋeəɗəj
យុវវ័យ	juʋeəʋɨj
យុវៈ	juʋeəʔ
យូហ្គា	juːɡiə
យូហ្គោស្លាវ	juːɡoːslaːw
យេមែន	jeimɛːn
យេស៊ូ	jeisuː
យោគៈ	joːkeəʔ
យោធ	joːtʰeəʔ
យោធនិយម	joːtʰeənijum
យោបល់	joːɓɑl
យោមរាជ	joːmeəriəc
រក	rɔː
រក្សសី	reəkʰsɑsəj
រក្សសៈ	reəkʰsɑsɑʔ
រក្សា	reəkʰsaː
រង្គាជីព	ruəŋkiəciːp
រង្គើ	ruəŋkəː
រង្វង់	ruəŋʋuəŋ
រង្វាន់	ruəŋʋoən
រង្វាស់	ruəŋʋoəh
រង្វះ	ruəŋʋeəh
រង្សី	reəŋsəj
រចនា	rɑccənaː
រជក	reəcuəʔ
រជ្ជ	rɑcceəʔ
រជ្ជកាល	rɑcceəkaːl
រជ្ជុសញ្ញា	rɑccusɑɲɲaː
រជ្ជៈ	rɑcceəʔ
រញ្ជួយ	ruəɲcuəj
រដូវ	rɔɗəw
រដ្ឋ	roət
រដ្ឋទូត	roəttʰɑtuːt
រដ្ឋធានី	roəttʰɑtʰiəniː
រដ្ឋបាល	roəttʰɑɓaːl
រដ្ឋបុរស	roəttʰɑɓorɑh
រដ្ឋប្បវេណី	roəttʰɑppɑʋeːniː
រដ្ឋប្រហារ	roəttʰɑprɑhaː
រដ្ឋមន្ត្រី	roəttʰɑmuəntrəj
រដ្ឋសភា	roətsɑpʰiə
រដ្ឋាភិបាល	roəttʰaːpʰiɓaːl
រណ	reənɑʔ
រណសិរ្ស	reənɑseː
រណៈ	reənɑʔ
រណ្ដៅ	ruənɗaw
រតនគិរី	roətɑnɑkiriː
រតនត្រ័យ	roətɑnɑtraj
រតិ	reəteʔ
រតិកម្ម	reətekɑm
រតិគ្រឹះ	reətekrɨh
រថ	ruət
រថភ្លើង	ruətpʰləːŋ
រទច្ឆេទី	reəteəcʰeːtiː
រនាស់	rɔnoəh
រនាំង	rɔneəŋ
រន្ឋគវេសី	ruəntʰeəkeəʋeisəj
រន្ទេប	ruənteip
រន្ទះ	ruənteəh
របត់	rɔɓɑt
របស់	rɔɓɑh
របាំង	rɔɓɑŋ
រមណីយ	reəmeəniːjeəʔ
រមណីយដ្ឋាន	reəmeəniːjeətʰaːn
រមត់	rɔmuət
រមាស់	rɔmoəh
រមាំង	rɔmeəŋ
រម្ភា	rumpʰiə
រម្យ	rɑm
រយៈ	reəjeəʔ
រលក់	rɔluəʔ
រលត់	rɔluət
រលស់	rɔluəh
រលាំង	rɔleəŋ
រវល់	rɔʋuəl
រស	ruəh
រសាយនវិទ្យា	reəsaːjɑnɑʋitʰjiə
រស្មី	reəsməj
រស្ស	roəhsɑʔ
រហ័ស	rɔhɑh
រឥល	rɔʔəl
រឭក	rɔlɨk
រាក់ទាក់	reəteəʔ
រាក្ស័ស	riəkʰsɑh
រាជទូត	riəceətuːt
រាជាណាចក្រ	riəciənaːcɑʔ
រាជាធិបតេយ្យ	riəciətʰɨppɑtaj
រាជាធិរាជ	riəciətʰiriəc
រាជិនី	riəciniː
រាប់	roəp
រាមញ្ញ	riəmɑɲ
រាល់	roəl
រាសីចក្រ	riəsəjcɑʔ
រាស់	roəh
រាហុល	riəhul
រាំង	reəŋ
រាំវង់	roəmʋuəŋ
រិត្ត	rɨttɑʔ
រិទ្ធិ	rɨt
រិះ	rih
រិះគិត	rihkɨt
រីហ្កា	riːɡiə
រុក្ខជាតិ	rukkʰɑciət
រុក្ខរស	rukkʰɑruəh
រុស្សី	ruhsəj
រុស្ស៊ី	rusiː
រូបធាតុ	ruːpɑtʰiət
រូបយន្ត	ruːpɑjuən
រូបវិទ្យា	ruːppɑʋitʰjiə
រូបសព្ទតា	ruːpsɑpteətaː
រូបសាស្ត្រ	ruːppɑsaːh
រូបាទ្យារម្មណ៍	ruːpaːtʰjiərɑm
រូបិយវត្ថុ	ruːpəjjeəʋoəttʰoʔ
រូម៉ានី	ruːmaːniː
រេខាគណិត	reikʰaːkeənət
រេញ	rɨɲ
រេណបថ	reinɑɓɑːt
រេផៈ	reipʰɑʔ
រេស៊ីស្ទ័រ	reisiːstoə
រោរព	roːrup
រោហិណី	roːheniː
រំពត់	rumpuət
រំពាត់	rumpoət
រំលង	rumlɔːŋ
រំលស់	rumluəh
រំឭក	rumlɨk
រ៉ង់ហ្គូន	rɑŋɡuːn
រ៉ាមេន	raːmein
រ៉ឺកុម្មងដេ	rəɨkommɑŋɗeː
រ៉ូម៉ង់	roumɑŋ
រ៉េអ័កស្យុង	reːʔɑksjoŋ
រ៉ៃក្យាវិក	rajkjaːʋɨk
រ៉ោតទ័រ	raottoə
រ័ក្ស	reəʔ
លក្ខ	leəʔ
លក្ខការ	leəʔ
លក្ខខណ្ឌ	leəkʰɑn
លក្ខណៈ	leəkʰɑnɑʔ
លក្ស្មី	leəksməj
លង្វែក	luəŋʋɛːk
លជ្ជាភាព	lɑcciəpʰiəp
លញ្ឆករ	lɑɲcʰɑkɑː
លតា	leəɗaː
លទ្ធ	lɑttʰeəʔ
លទ្ធកម្ម	lɑttʰeəkɑm
លទ្ធផល	lɑttʰeəpʰɑːl
លទ្ធភាព	lɑttʰeəpʰiəp
លទ្ធិ	lɑttʰiʔ
លប់	lup
លម៉ើ	leəmɑə
លម្អ	lumʔɑː
លលា	leəliə
លាក់	leəʔ
លាក់ពុត	leəput
លាត់	loət
លាន់	loən
លាប់	loəp
លាមក	liəmeəkɑʔ–
លាមកកម្ម	liəmeəkɑkɑm
លាមកជន	liəmeəkɑcuən
លាមកភាព	liəmeəkɑpʰiəp
លាវ័ណ្យ	liəʋoən
លាស់	loəh
លាំងសាត	leəŋsaːt
លិខិត	likʰət
លិឍ	lɨt
លិបិការ	lipekaː
លីកង់	liːkɑŋ
លីទុយអានី	liːtujʔaːniː
លីបង់	liːɓɑŋ
លីបេរីយ៉ា	liːɓeːriːjaː
លីសបោន	liːsɓaon
លុម្បក	lumpɑkɑʔ
លេខនា	leikʰɑnaː
លេខនី	leikʰɑniː
លេខប្រៃសណីយ៍	leːkʰɑprajsɑniː
លេខា	leikʰaː
លេខាធិការ	leikʰaːtʰikaː
លេង	leiŋ
លេច	lɨc
លេណ	lein
លេណក	leinɑʔ
លេនីន	leiniːn
លេនីននិយម	leiniːnnijum
លេប	leip
លេវីវិន័យ	leiʋiːʋinɨj
លេស	leih
លោកអ្នក	loːkɑneəʔ
លោការីត	loːkaːriːt
លោកិយ	loːkejɑʔ–
លោកុប្បត្តិ	loːkupɓɑt
លោហធាតុ	loːhɑtʰiət
លោហាករ	loːhaːkɑː
លោហិតាគារ	loːhetaːkiə
លោហៈ	loːhɑʔ
លំចង់	lumcɑŋ
លំពង់	lumpuəŋ
លំហ	lumhɑː
លំអ	lumʔɑː
លំអង	lumʔɑːŋ
ល័ក្ត	leəʔ
ល័ខ	leəʔ
ល្មេច	lmɨc
ល្វីហ្ស៊ីណា	lʋiːziːnaː
វក្កំ	ʋeəkɑŋ
វគ្គ	ʋeəʔ
វគ្គីករណ៍	ʋeəkiːkaː
វង្វេង	ʋuəŋʋeiŋ
វង្ស	ʋɑŋsɑʔ
វចន	ʋɑccɑnɑʔ
វចនតា	ʋɑccɑnɑtaː
វចនានុក្រម	ʋeəcɑnaːnukrɑm
វចនៈ	ʋɑccɑnɑʔ
វចី	ʋeəcəj
វច្ច	ʋɑccɑʔ
វជីរ	ʋeəciː
វឌ្ឍន	ʋoəttʰeəneəʔ
វឌ្ឍនភាព	ʋoəttʰeəneəpʰiəp
វឌ្ឍនៈ	ʋoəttʰeəneəʔ
វឌ្ឍន៍	ʋoət
វណ	ʋeənɑʔ
វណវេឋន៍	ʋeənɑʋeit
វណិជ្ជា	ʋeənɨcciə
វណ្ណ	ʋɑnnɑʔ
វណ្ណយុត្ត	ʋoənnɑjut
វណ្ណយុត្តិ	ʋɑnnɑjut
វណ្ណា	ʋɑnnaː
វណ្ណាង្គ	ʋɑnnaːŋ
វណ្ណៈ	ʋɑnnɑʔ
វត្ត	ʋoət
វត្តមាន	ʋoəttɑmaːn
វត្តមានកាល	ʋoəttɑmiəneəkaːl
វត្តមានា	ʋoəttɑmaːnaː
វត្ថិ	ʋoəttʰeʔ
វត្ថុ	ʋoəttʰoʔ
វត្ស	ʋoət
វត្សរ៍	ʋoət
វធភូមិ	ʋeətʰeəpʰuːm
វធូ	ʋeətʰuː
វន្ទា	ʋoəntiə
វប្ប	ʋoəppɑʔ
វប្បធម៌	ʋoəppɑtʰoə
វរ	ʋeəreəʔ–
វរលញ្ឆករ	ʋeəreəlɑɲcʰɑkɑː
វរ្ម័ន	ʋeərɑmɑn
វលី	ʋeəliː
វល្លិ	ʋoə
វសនដ្ឋាន	ʋeəsɑnɑttʰaːn
វស្សា	ʋoəhsaː
វាក្យ	ʋiəkjɑʔ
វាគ្មិន	ʋiəmɨn
វាតុល	ʋiəɗol
វាទកៈ	ʋiəteəkɑʔ
វាយ	ʋaj
វាយុ	ʋiəjuʔ
វារុណី	ʋiəruniː
វាសនដ្ឋាន	ʋiəsɑnɑttʰaːn
វាសនា	ʋiəhsnaː
វាស់	ʋoəh
វាំង	ʋeəŋ
វិកតិ	ʋikɑt
វិកតិកម្ម	ʋikɑtekɑm
វិកប្ប	ʋikɑp
វិការ	ʋikaː
វិការដ្ឋាន	ʋikaːreətʰaːn
វិក្កយបត្រ	ʋikajjəɓɑt
វិក្កយសាលា	ʋikajjɑsaːlaː
វិគីនានុក្រម	ʋikiːnaːnukrɑm
វិគីភីឌា	ʋikiːpʰiːɗiə
វិចតូរីយ៉ា	ʋɨctouriːjaː
វិចត្រសាល	ʋicetrɑsaːl
វិចារ	ʋicaː
វិចារកៈ	ʋicaːrɑkɑʔ
វិចារណា	ʋicaːrɑnaː
វិចិកិច្ឆា	ʋicekəccʰaː
វិចិត្រ	ʋicetrɑʔ–
វិចិត្រករ	ʋicetrɑkɑː
វិចិត្រសាល	ʋicetrɑsaːl
វិច្ឆិកា	ʋɨccʰekaː
វិច្ឆេទ	ʋɨcceːteəʔ–
វិច្ឆេទកម្ម	ʋɨcceːteəkɑm
វិជយិន	ʋiceəjɨn
វិជាតិ	ʋiciət
វិជ្ជមាន	ʋɨcceəmiən
វិជ្ជមានាណូ	ʋɨcceəmiəniənou
វិជ្ជាជីវៈ	ʋɨcciəciːʋeəʔ
វិជ្ជុ	ʋɨccuʔ
វិញ្ញាបនបត្រ	ʋɨɲɲiəpɑnɑɓɑt
វិថី	ʋitʰəj
វិទូ	ʋituː
វិទ្យា	ʋitʰjiə
វិទ្យាល័យ	ʋitʰjiəlaj
វិទ្យាសាស្ត្រ	ʋɨttʰjiəsaːh
វិទ្យាស្ថាន	ʋɨttʰjiəstʰaːn
វិទ្យុ	ʋitʰjuʔ
វិទ្យុសកម្ម	ʋitʰjusɑkɑm
វិធវា	ʋitʰeəʋiə
វិធាន	ʋitʰiən
វិធានការ	ʋitʰiənəkaː
វិធិ	ʋitʰiʔ
វិធី	ʋitʰiː
វិធីសាស្ត្រ	ʋitʰiːsaːh
វិនយ	ʋineəjeəʔ
វិនាទី	ʋiniətiː
វិនាស	ʋiniəh
វិនិយោគ	ʋinijoːk
វិន័យ	pinɨj
វិបត្តិ	ʋipɑtteʔ
វិបស្ចិត	ʋipɑhscət
វិបស្សនា	ʋipɑhsɑnaː
វិបាក	ʋipaːkɑʔ–
វិបុល	ʋipoleəʔ
វិប្បដិសារី	ʋɨppɑɗesaːrəj
វិប្បយោគ	ʋɨppɑjoːk
វិប្រយោគ	ʋɨppɑjoːk
វិភាគ	ʋipʰiəʔ
វិមាន	ʋimiən
វិម្ហយសញ្ញា	ʋɨmhɑjeəsɑɲɲaː
វិរាម	ʋiriəm
វិរុទ្ធ	ʋirut
វិរូបកាយ	ʋiruːpɑkaːj
វិលោកនៈ	ʋiloːkɑnɑʔ
វិវត្តន៍	ʋiʋoət
វិសាល	ʋisaːl
វិសាលគម	ʋisaːlɑkum
វិសាលវិហារ	ʋisaːlʋihiə
វិសុវ័ត	ʋisoʋoət
វិសេស	ʋisaeh
វិសេសន	ʋiseːsɑnɑʔ
វិស័យ	ʋisaj
វិស្វករ	ʋisʋɑkɑː
វិហារ	ʋihiə
វិហារដ្ឋាន	ʋihaːrɑttʰaːn
វិហារៈ	ʋihaːreəʔ
វីតាមីន	ʋiːtaːmiːn
វីថិ	ʋitʰəj
វីមង្សា	ʋiːmeəŋsaː
វីយោឡុង	ʋiːjouloŋ
វីយ៉ូមីង	ʋiːjoumiːŋ
វីរ	ʋiːreəʔ
វីរជន	ʋiːreəcuən
វីរបុរស	ʋiːreəɓorɑh
វីរភាព	ʋiːreəpʰiəp
វីរិយ	ʋiːrijeəʔ
វុឌ្ឍី	ʋuttʰiː
វេច	ʋɨc
វេជ្ជ	ʋɨcceəʔ
វេជ្ជបញ្ញត្តិ	ʋɨcceəɓɑɲɲɑt
វេជ្ជបណ្ឌិត	ʋɨcceəɓɑnɗɨt
វេជ្ជសាស្ត្រ	ʋɨcceəsaːh
វេណេហ្ស៊ុយអេឡា	ʋeineːzujʔeːlaː
វេត្រាណូ	ʋeitraːnou
វេទ	ʋeit
វេទនា	ʋeitteəniə
វេទិកា	ʋeitikaː
វេន	ʋein
វេនីស	ʋeiniːh
វេយ្យាករណ៍	ʋɨjjiəkɑː
វេរ	ʋei
វេលា	ʋeiliə
វេវចនៈ	ʋeːʋeəcɑnɑʔ
វេសវឺជីញ៉ា	ʋeihʋɨːciːɲaː
វេឡុវ័ន	ʋeiloʋoən
វែលីងតោន	ʋɛːliːŋtoːn
វៃយរាពណ៍	ʋɨjjeəriəp
វៃយាករណ៍	ʋɨjjiəkɑː
វោហារុបជីវី	ʋoːhaːrupɑciːʋiː
វ៉ាក់សាំង	ʋɑksɑŋ
វ៉ាទីកង់	ʋaːtiːkɑŋ
វ៉ានីឡា	ʋaːniːlaː
វ៉ាលីស៍	ʋaːliː
វ៉ាសូវី	ʋaːsouʋiː
វ៉ាហ្គុង	ʋaːɡuŋ
វ៉ាឡង់	ʋaːlɑŋ
វ៉ិចទ័រ	ʋəctoə
វ័យ	ʋeəjeəʔ
សកល	sɑkɑlɑʔ
សកលលោក	sɑkɑlɑloːk
សកុណាយន្ត	sɑkonaːjuən
សក្ខី	sɑkʰəj
សក្តា	sɑkɗaː
សក្តានុពល	sɑkɗaːnupuəl
សក្តិ	sɑʔ
សងខាង	sɑŋkʰaːŋ
សង្កត់	sɑŋkɑt
សង្ករ	sɑŋ
សង្កុបកម្ម	sɑŋkopɑkɑm
សង្ខេប	sɑŋkʰaep
សង្គតិ	sɑŋkeəteʔ
សង្គម	sɑŋkum
សង្គមនិយម	sɑŋkumnijum
សង្គមវិទ្យា	sɑŋkumʋɨttʰjiə
សង្គីតនាដន៍	sɑŋkiːtɑniət
សង្ឃរា	sɑŋkʰeəriə
សង្ឃាដី	sɑːŋkʰiəɗəj
សង្ឃ័រ	sɑŋkʰoə
សង្រែក	sɑŋrɛːk
សង្វេគ	sɑŋʋeik
សង្វែង	sɑŋʋɛːŋ
សង្ស័យ	sɑŋsaj
សច្ចំ	sɑccɑŋ
សជន	sɑcuən
សញ្ជាតិ	sɑɲciət
សញ្ជីវ័ន	sɑɲciːʋoən
សញ្ញាបត្រ	sɑɲɲaːɓɑt
សណ្ដ	sɑnɗɑː
សណ្ឋាគារដ្ឋាន	sɑntʰaːkiəreətʰaːn
សត	sɑtɑʔ
សតវត្ស	sɑtɑʋoət
សតវត្សរ៍	sɑtɑʋoət
សតិ	sɑteʔ
សត្តាហៈ	sɑttaːhɑʔ
សត្យា	sɑttʰjaː
សត្រី	sɑttrəj
សត្រូវ	sɑttrəw
សត្វឃាតស្ថាន	sɑttəkʰiətəstʰaːn
សទ្ទ	sɑtteəʔ
សទ្ទតា	sɑtteətaː
សន្ដិភាព	sɑntepʰiəp
សន្តតិ	sɑntɑteʔ
សន្តិ	sɑnteʔ
សន្តិនិយម	sɑntenijum
សន្តិភាព	sɑntepʰiəp
សន្តិសុខ	sɑntesok
សន្ទនា	sɑŋteəniə
សន្ទមាលា	sɑːnteəmiəliə
សន្ទរកថា	sɑnteəreəkɑtʰaː
សន្ទិះ	sɑntih
សន្ធិ	sɑntʰiʔ
សន្ធិសញ្ញា	sɑntʰisɑɲɲaː
សន្និបាត	sɑnniɓaːt
សន្និសីទ	sɑnnisət
សន្លប់	sɑnlɑp
សបថ	sɑpɑtʰɑʔ
សប្តាហៈ	sɑppɗaːhɑʔ
សប្តាហ៍	sɑppəɗaː
សប្តិ	sɑp
សប្ប	sɑppɑʔ
សព	sɑp
សព្វនាម	sɑppeəniəm
សព្វាវុធ	sɑppiəʋut
សម	sɑmɑʔ–
សមជ្ជ	sɑmɑcceəʔ
សមត្ថ	sɑmɑttʰɑʔ
សមមិត្ត	sɑmɑmɨt
សមរ	sɑmɑrɑʔ
សមសែម	sɑmsaem
សមស្តនិយម	sɑmaːtɑnijum
សមាគម	sɑmaːkum
សមាធិ	sɑmaːtʰiʔ
សមានកម្ម	sɑmaːnɑkɑm
សមានការ	sɑmaːnɑkaː
សមិន្ធន៍	sɑmɨn
សមោសរ	sɑmaosɑː
សម៉	sɑmɑː
សម័យ	sɑmaj
សម្គាល់	sɑmkoəl
សម្ដេច	sɑmɗɑc
សម្បត្តិ	sɑmɓɑt
សម្បថ	sɑmɓɑt
សម្បុរ	sɑmɓao
សម្ប័ទ	sɑmɓɑt
សម្ផស្ស	sɑmpʰɑhsɑʔ
សម្ពាហកម្ម	sɑmpiəhɑkɑm
សម្ភព	sɑmpʰup
សម្ភារៈ	sɑmpʰiəreəʔ
សម្ភារៈមុខ	sɑmpʰiəreəmuk
សម្ភូតិ	sɑmpʰuːt
សម្មតិ	sɑmmɑt
សម្មតិកម្ម	sɑmmɑtekɑm
សម្មានការ	sɑmmaːneəkaː
សម្រង់	sɑmrɑŋ
សម្រន់	sɑmrɑn
សម្រប	sɑmrɔːp
សម្រស់	sɑmrɑh
សម្រេច	sɑmrɑc
សម្រែក	sɑmrɛːk
សម្ល	sɑmlɑː
សយនដ្ឋាន	sɑjɑnɑttʰaːn
សយនៈ	sɑjɑnɑʔ
សរទៈ	sɑrɑteəʔ
សរសើរ	sɑːsɑə
សរសេរ	sɑseː
សរីរាង្គ	sɑrəjriəŋ
សរីរៈ	sɑrəjrɑʔ
សល្យ	sɑljeəʔ
សល្យកម្ម	sɑljeəkɑm
សល្យសាស្ត្រ	sɑljeəsaːh
សវ	sɑʋɑʔ
សវនដ្ឋាន	sɑʋɑnɑtʰaːn
សវនៈ	sɑʋɑnɑʔ
សសុរៈ	sɑsorɑʔ
សស្សុ	sɑhsoʔ
សហ	sɑhɑʔ
សហការិនី	sɑhɑkaːrenəj
សហគមន៍	sɑhɑkum
សហប្រតិបត្តិ	sɑhɑprɑteɓɑt
សហពន្ធន៍	sɑhɑpoən
សហពន្ធុ	sɑhɑpoəntʰuʔ
សហពលកម្ម	sɑhɑpuəlləkɑm
សហព័ន្ឋ	sɑhɑpoən
សហព័ន្ធ	sɑhɑpoən
សហរដ្ឋ	sɑhɑroət
សហរាជាណាចក្រ	sɑhɑriəciənaːcɑʔ
សហស្ស	sɑhɑhsɑʔ
សហស្សវត្សរ៍	sɑhɑhsɑʋoət
សាកល	saːkɑlɑʔ
សាកលលោក	saːkɑlɑloːk
សាកលវិទ្យាល័យ	saːkɑlʋɨttʰjiəlaj
សាក់សូហ្វូន	sɑksoufoun
សាក្រាមេនតូ	saːkraːmeintou
សាក្សី	sɑksəj
សាគរ	saːkɔː
សាណិ	saːneʔ
សាតាំង	saːtɑŋ
សាទរ	saːtɔː
សាធក	saːtʰeəkɑʔ
សាធារណរដ្ឋ	saːtʰiəreənɑroət
សាធារណៈ	saːtʰiəreənɑʔ
សាធុ	saːtʰuʔ
សានម៉ារីណូ	saːnmaːriːnou
សាន់ឌីអេហ្គោ	sɑnɗiːʔeːɡoː
សាមគ្គី	saːmɑkiː
សាមញ្ញ	saːmɑɲ
សាមណេរ	saːmɑneː
សាមិនី	saːminiː
សាយណ្ហ	saːjɑn
សាយមាស	saːjɑmiəh
សារធាតុ	saːrɑtʰiət
សារពត៌មាន	saːpoəɗɑːmiən
សារព័ន	saːrɑpoən
សារព័នសីតកម្ម	saːrɑpoənsəjtɑkɑm
សារមន្ទីរ	saːrɑmuəntiː
សារសំខាន់	saːrɑsɑmkʰɑn
សារិទ្ធ	saːrɨt
សារី	saːriː
សារៈសំខាន់	saːrɑsɑmkʰɑn
សាលាមត្តេយ្យ	saːlaːmɑttəj
សាវត្ថី	saːʋɑttʰəj
សាសន	saːsɑnɑʔ
សាសនា	saːsɑnaː
សាសនិក	saːsɑnɨk
សាសនិកា	saːsɑnikaː
សាស្ត្រចារ្យ	saːhstraːcaː
សាស្ត្រា	saːhstraː
សាស្ត្រាចារ្យ	saːhstraːcaː
សាហេតុ	saːhaet
សាំង	sɑŋ
សាំងកាប៉ូ	sɑŋkaːpou
សាំង្កសី	sɑŋkɑsəj
សិខា	sekʰaː
សិខិន	sekʰən
សិគាល	sekiəl
សិទ្ធិ	sət
សិបយន្ត	səpjuən
សិប្ប	səppɑʔ
សិប្បករ	səppɑkɑː
សិប្បៈ	səppɑʔ
សិរ	seː
សិរិ	sereʔ
សិរី	serəj
សិរ្ស	seː
សិលា	selaː
សិល្បករ	səlləpɑkɑː
សិវិកា	seʋikaː
សិវៈ	seʋɑʔ
សិសិរៈ	sesereəʔ
សីត	səjtɑʔ
សីតកម្ម	səjtɑkɑm
សីល	səl
សីលធម៌	səjlɑtʰoə
សីហលោ	səjhɑloː
សីហៈ	səjhɑʔ
សឺរ៉ាំង	səɨrɑŋ
សុខភាព	sokʰɑpʰiəp
សុខាភិបាល	sokʰaːpʰiɓaːl
សុគត	sokuət
សុង្ក	soŋkɑʔ
សុដន់	soɗɑn
សុណិសា	sonesaː
សុនក	sonɑːʔ
សុនខ	sonɑːʔ
សុន្ទរ	sonteəreəʔ
សុផល	sopʰɑːl
សុភ	sopʰeəʔ
សុភនិច្ឆ័យ	sopʰeənɨccʰaj
សុភមង្គល	sopʰeəmeəŋkuəl
សុភោជន	sopʰoːc
សុយាត្រា	sojiətraː
សុរ	sorɑʔ
សុរសភោជន	sorɑsɑpʰoːcuən
សុរាមត្ត	soraːmɑt
សុរិយ	sorejɑʔ
សុរិយោទ័យ	sorejaotɨj
សុលកាករ	solkaːkɑː
សុល្ក	solkɑʔ
សុវណ្ណ	soʋɑn
សុវណ្ណភូមិ	soʋɑnnɑpʰuːm
សុវត្ថិ	soʋɑttʰeʔ
សុវត្ថិភាព	soʋɑttʰepʰiəp
សុស្ម័ន	sohsmɑn
សូទ	souteəʔ
សូភ្វីយ៉ា	soufiːjaː
សូម៉ាលី	soumaːliː
សូរង	sourɑːŋ
សូរីណាម	souriːnaːm
សូលុយស្យុង	soulujsjoŋ
សូវ	səw
សូហ្វវែរ	soufʋae
សួគ៌	suə
សួស្តី	suəsɗəj
សេកង់	seːkɑŋ
សេចក្ដី	sɑckɗəj
សេចក្តី	sɑckɗəj
សេដ្ឋ	seːttʰɑʔ
សេដ្ឋកិច្ច	seːttʰɑkəc
សេដ្ឋសាស្ត្រ	seːttʰɑsaːh
សេដ្ឋី	seːttʰəj
សេណេហ្គាល់	seːneːɡiəl
សេត	saet
សេតវនីត	seːtɑʋɔniːt
សេទៈ	seːteəʔ
សេនហ្វ្រេនស៊ីស្កូ	seːnfreːnsiːskou
សេនាសន	seːnaːsɑnɑʔ
សេព	saep
សេម្ហៈ	seːmhɑʔ
សេរ៉្យូម	seːrjuːm
សេលេញ៉ូម	seːleiɲoum
សេវកៈ	seːʋɑkɑʔ
សេវាកម្ម	seːʋaːkɑm
សែនមនោរម្យ	saenmɔːnoːrɔːm
សៃយ	saj
សៃហ្គន	sajɡɔːn
សោធន	saotʰeəneəʔ
សោធនី	saotʰeəniː
សោភ័ណ	saopʰoən
សៅការ៉ូលីណា	sawkaːrouliːnaː
សំកាត់	somkɑt
សំខ្យា	sɑŋkjaː
សំខ្យានុគ្រោះ	sɑŋkjaːnukruəh
សំគាល់	sɑmkoəl
សំចត	sɑmcɑːt
សំណ	sɑmnɑː
សំណង	sɑmnɔːŋ
សំណង់	sɑmnɑŋ
សំណល់	sɑmnɑl
សំទង់	sɑmtuəŋ
សំបក	sɑmɓɑːʔ
សំពត់	sɑmpuət
សំយោគ	sɑŋjoːk
សំរង	sɑmrɔːŋ
សំរង់	sɑmrɑŋ
សំរស់	sɑmrɑh
សំរែក	sɑmrɛːk
សំរោង	sɑmroːŋ
សំលោហៈ	sɑmloːhɑʔ
សំវេគ	sɑmʋeik
សំស្ក្រឹត	sɑŋskrət
សំឡ	sɑmlɑː
សំឡេង	sɑmleiŋ
សំអប់	sɑmʔɑp
ស៊ីញេ	siːɲei
ស៊ីដនីយ៏	siːtniː
ស៊ីបេរី	siːɓeːriː
ស៊ីមហ្វូនី	siːmfouniː
ស៊ីម៉ងត៍	siːmɑːŋ
ស៊ីសង	siːsɑːŋ
ស៊ីហ្គា	siːɡiə
ស៊ីឡាំង	siːlɑŋ
ស៊ូដង់	suːɗɑŋ
ស៊ូណាមិ	suːnaːmiʔ
ស៊េប៊ី	seiɓiː
ស័ក	sɑʔ
ស័ក្តិ	sɑʔ
ស័ង្គសី	sɑŋkɑsəj
ស្កង់ឌីណាវី	skɑŋɗiːnaːʋiː
ស្កុតលែនដ៍	skotlɛːn
ស្កុបជេ	skopcei
ស្គាល់	skoəl
ស្ដេច	sɗɑc
ស្ដ្រី	strəj
ស្តាលីននិយម	staːliːnnijum
ស្តុតិ	stoteʔ
ស្តូបនីយដ្ឋាន	stoupniːjeətʰaːn
ស្ត្រប៊េរី	sɗɑːɓeiriː
ស្ត្រី	sɑtrəj
ស្ត្រីនិយម	strəjnijɔːm
ស្ថានភាព	sətʰaːnɑpʰiəp
ស្ថានីយ	stʰaːniː
ស្ថានីយ៍	stʰaːniː
ស្ថាបត្យកម្ម	stʰaːpɑttʰjɑkɑm
ស្ថាបនា	stʰaːpɑnaː
ស្ថាប័ន	stʰaːɓɑn
ស្ថិតិ	stʰeteʔ
ស្ថិតិវិទ្យា	stʰeteʋitʰjiə
ស្ថិរ	stʰerɑʔ
ស្ថិរភាព	stʰerɑpʰiəp
ស្ទាំង	steəŋ
ស្ទីឡូ	stiːlou
ស្ទៃ	stej
ស្នាយុ	snaːjuʔ
ស្នេហា	snaehaː
ស្នេហ៍	snae
ស្បថ	sɓɑt
ស្បូវ	sɓəw
ស្ប៉ាហ្គេតទី	spaːɡeittiː
ស្ពាន់	spoən
ស្មាតហ្វូន	smaːtfoun
ស្មាធិ៍	smaːt
ស្មារតី	smaːrɗəj
ស្រងែ	srɑŋɛː
ស្របក់	srɑɓɑʔ
ស្រមុក	srɑmuk
ស្រឡទែន	srɑːlɑːtɛːn
ស្រឡប់	srɑlɑp
ស្រឹង្គ	srəŋkeəʔ
ស្រុកឃ្លាំង	srokkʰleəŋ
ស្រូវ	srəw
